{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 23568, 'step': 8200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6259765625, 'score': 0.6259765625, 'examples_seen': 23710, 'step': 8250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.51171875, 'score': 0.51171875, 'examples_seen': 23854, 'step': 8300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5966796875, 'score': 0.5966796875, 'examples_seen': 23998, 'step': 8350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6103515625, 'score': 0.6103515625, 'examples_seen': 24141, 'step': 8400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.59375, 'score': 0.59375, 'examples_seen': 24285, 'step': 8450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 24429, 'step': 8500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6044921875, 'score': 0.6044921875, 'examples_seen': 24572, 'step': 8550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 24717, 'step': 8600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6376953125, 'score': 0.6376953125, 'examples_seen': 24864, 'step': 8650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 25006, 'step': 8700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 25149, 'step': 8750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5234375, 'score': 0.5234375, 'examples_seen': 25291, 'step': 8800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.681640625, 'score': 0.681640625, 'examples_seen': 25436, 'step': 8850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6171875, 'score': 0.6171875, 'examples_seen': 25579, 'step': 8900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 25723, 'step': 8950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.552734375, 'score': 0.552734375, 'examples_seen': 25869, 'step': 9000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6025390625, 'score': 0.6025390625, 'examples_seen': 26012, 'step': 9050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 26158, 'step': 9100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 26302, 'step': 9150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.689453125, 'score': 0.689453125, 'examples_seen': 26442, 'step': 9200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 26588, 'step': 9250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 26733, 'step': 9300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 26874, 'step': 9350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 27019, 'step': 9400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6103515625, 'score': 0.6103515625, 'examples_seen': 27163, 'step': 9450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.51953125, 'score': 0.51953125, 'examples_seen': 27306, 'step': 9500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 27450, 'step': 9550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 27595, 'step': 9600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.64453125, 'score': 0.64453125, 'examples_seen': 27739, 'step': 9650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6484375, 'score': 0.6484375, 'examples_seen': 27881, 'step': 9700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6259765625, 'score': 0.6259765625, 'examples_seen': 28025, 'step': 9750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.544921875, 'score': 0.544921875, 'examples_seen': 28169, 'step': 9800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 28314, 'step': 9850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.669921875, 'score': 0.669921875, 'examples_seen': 28459, 'step': 9900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 28600, 'step': 9950, 'algorithm': 'strongly_connected_components'},
