{'pi': 0.3677591463414634, 'score': 0.3677591463414634, 'examples_seen': 93104, 'step': 9300, 'algorithm': 'dfs'},
{'pi': 0.3205030487804878, 'score': 0.3205030487804878, 'examples_seen': 93568, 'step': 9350, 'algorithm': 'dfs'},
{'pi': 0.32621951219512196, 'score': 0.32621951219512196, 'examples_seen': 94064, 'step': 9400, 'algorithm': 'dfs'},
{'pi': 0.3711890243902439, 'score': 0.3711890243902439, 'examples_seen': 94608, 'step': 9450, 'algorithm': 'dfs'},
{'pi': 0.3852896341463415, 'score': 0.3852896341463415, 'examples_seen': 95056, 'step': 9500, 'algorithm': 'dfs'},
{'pi': 0.37614329268292684, 'score': 0.37614329268292684, 'examples_seen': 95632, 'step': 9550, 'algorithm': 'dfs'},
{'pi': 0.3315548780487805, 'score': 0.3315548780487805, 'examples_seen': 96080, 'step': 9600, 'algorithm': 'dfs'},
{'pi': 0.3791920731707317, 'score': 0.3791920731707317, 'examples_seen': 96608, 'step': 9650, 'algorithm': 'dfs'},
{'pi': 0.34489329268292684, 'score': 0.34489329268292684, 'examples_seen': 97024, 'step': 9700, 'algorithm': 'dfs'},
{'pi': 0.36890243902439024, 'score': 0.36890243902439024, 'examples_seen': 97568, 'step': 9750, 'algorithm': 'dfs'},
{'pi': 0.34184451219512196, 'score': 0.34184451219512196, 'examples_seen': 98096, 'step': 9800, 'algorithm': 'dfs'},
{'pi': 0.38109756097560976, 'score': 0.38109756097560976, 'examples_seen': 98608, 'step': 9850, 'algorithm': 'dfs'},
{'pi': 0.32164634146341464, 'score': 0.32164634146341464, 'examples_seen': 99136, 'step': 9900, 'algorithm': 'dfs'},
{'pi': 0.30602134146341464, 'score': 0.30602134146341464, 'examples_seen': 99568, 'step': 9950, 'algorithm': 'dfs'},
