{'in_mst': 0.7247875877355004, 'score': 0.7247875877355004, 'examples_seen': 342202, 'step': 8050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7081533477321814, 'score': 0.7081533477321814, 'examples_seen': 344097, 'step': 8100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6323089046493303, 'score': 0.6323089046493303, 'examples_seen': 346456, 'step': 8150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7455384615384615, 'score': 0.7455384615384615, 'examples_seen': 348264, 'step': 8200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6494219653179192, 'score': 0.6494219653179192, 'examples_seen': 350627, 'step': 8250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.511531069827034, 'score': 0.511531069827034, 'examples_seen': 352440, 'step': 8300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5346451159522135, 'score': 0.5346451159522135, 'examples_seen': 354832, 'step': 8350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6143646408839779, 'score': 0.6143646408839779, 'examples_seen': 357017, 'step': 8400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7441246369157645, 'score': 0.7441246369157645, 'examples_seen': 358994, 'step': 8450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6983994432846207, 'score': 0.6983994432846207, 'examples_seen': 361328, 'step': 8500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6818534817499353, 'score': 0.6818534817499353, 'examples_seen': 363145, 'step': 8550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6463063639270867, 'score': 0.6463063639270867, 'examples_seen': 365505, 'step': 8600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7287293702932222, 'score': 0.7287293702932222, 'examples_seen': 367271, 'step': 8650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4941052261129685, 'score': 0.4941052261129685, 'examples_seen': 369683, 'step': 8700, 'algorithm': 'mst_kruskal'},
