{'intersect': 0.9230390951561347, 'score': 0.9230390951561347, 'examples_seen': 378928, 'step': 7400, 'algorithm': 'segments_intersect'},
{'intersect': 0.9180483183325439, 'score': 0.9180483183325439, 'examples_seen': 381392, 'step': 7450, 'algorithm': 'segments_intersect'},
{'intersect': 0.9121164846593863, 'score': 0.9121164846593863, 'examples_seen': 384016, 'step': 7500, 'algorithm': 'segments_intersect'},
{'intersect': 0.9019410133602218, 'score': 0.9019410133602218, 'examples_seen': 386640, 'step': 7550, 'algorithm': 'segments_intersect'},
{'intersect': 0.9069767441860466, 'score': 0.9069767441860466, 'examples_seen': 389040, 'step': 7600, 'algorithm': 'segments_intersect'},
{'intersect': 0.9128205128205128, 'score': 0.9128205128205128, 'examples_seen': 391664, 'step': 7650, 'algorithm': 'segments_intersect'},
{'intersect': 0.9174055062995801, 'score': 0.9174055062995801, 'examples_seen': 394288, 'step': 7700, 'algorithm': 'segments_intersect'},
{'intersect': 0.91699604743083, 'score': 0.91699604743083, 'examples_seen': 396848, 'step': 7750, 'algorithm': 'segments_intersect'},
{'intersect': 0.9255846917080085, 'score': 0.9255846917080085, 'examples_seen': 399312, 'step': 7800, 'algorithm': 'segments_intersect'},
{'intersect': 0.9123343527013252, 'score': 0.9123343527013252, 'examples_seen': 401936, 'step': 7850, 'algorithm': 'segments_intersect'},
{'intersect': 0.9338540395411277, 'score': 0.9338540395411277, 'examples_seen': 404560, 'step': 7900, 'algorithm': 'segments_intersect'},
{'intersect': 0.927005540833534, 'score': 0.927005540833534, 'examples_seen': 406960, 'step': 7950, 'algorithm': 'segments_intersect'},
{'intersect': 0.9311392405063291, 'score': 0.9311392405063291, 'examples_seen': 409584, 'step': 8000, 'algorithm': 'segments_intersect'},
{'intersect': 0.924077083817042, 'score': 0.924077083817042, 'examples_seen': 412208, 'step': 8050, 'algorithm': 'segments_intersect'},
{'intersect': 0.9206425317669624, 'score': 0.9206425317669624, 'examples_seen': 414768, 'step': 8100, 'algorithm': 'segments_intersect'},
{'intersect': 0.9037220843672455, 'score': 0.9037220843672455, 'examples_seen': 417232, 'step': 8150, 'algorithm': 'segments_intersect'},
{'intersect': 0.9212855146716348, 'score': 0.9212855146716348, 'examples_seen': 419856, 'step': 8200, 'algorithm': 'segments_intersect'},
{'intersect': 0.9277816984239002, 'score': 0.9277816984239002, 'examples_seen': 422480, 'step': 8250, 'algorithm': 'segments_intersect'},
