{'topo_head': 0.9375, 'score': 0.5806021341463414, 'examples_seen': 97565, 'step': 8500, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6150914634146342, 'examples_seen': 98094, 'step': 8550, 'algorithm': 'topological_sort'},
{'topo_head': 0.90625, 'score': 0.5392530487804879, 'examples_seen': 98708, 'step': 8600, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5766006097560976, 'examples_seen': 99233, 'step': 8650, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6554878048780488, 'examples_seen': 99852, 'step': 8700, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6642530487804879, 'examples_seen': 100434, 'step': 8750, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.647484756097561, 'examples_seen': 100984, 'step': 8800, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6377667682926829, 'examples_seen': 101591, 'step': 8850, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6350990853658537, 'examples_seen': 102109, 'step': 8900, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5670731707317074, 'examples_seen': 102729, 'step': 8950, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5405868902439024, 'examples_seen': 103250, 'step': 9000, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5994664634146342, 'examples_seen': 103874, 'step': 9050, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.580983231707317, 'examples_seen': 104449, 'step': 9100, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6257621951219512, 'examples_seen': 104994, 'step': 9150, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6539634146341463, 'examples_seen': 105601, 'step': 9200, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6480564024390244, 'examples_seen': 106128, 'step': 9250, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6305259146341463, 'examples_seen': 106743, 'step': 9300, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.6055640243902439, 'examples_seen': 107258, 'step': 9350, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5769817073170732, 'examples_seen': 107876, 'step': 9400, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6284298780487805, 'examples_seen': 108446, 'step': 9450, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6391006097560976, 'examples_seen': 109010, 'step': 9500, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6229039634146342, 'examples_seen': 109615, 'step': 9550, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6198551829268293, 'examples_seen': 110140, 'step': 9600, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5525914634146342, 'examples_seen': 110742, 'step': 9650, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5743140243902439, 'examples_seen': 111272, 'step': 9700, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6019435975609756, 'examples_seen': 111887, 'step': 9750, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6238567073170732, 'examples_seen': 112453, 'step': 9800, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5644054878048781, 'examples_seen': 113026, 'step': 9850, 'algorithm': 'topological_sort'},
{'topo_head': 0.90625, 'score': 0.5272484756097561, 'examples_seen': 113629, 'step': 9900, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5306783536585366, 'examples_seen': 114157, 'step': 9950, 'algorithm': 'topological_sort'},
