{'pi': 0.9664634146341463, 'score': 0.9664634146341463, 'examples_seen': 279717, 'step': 8350, 'algorithm': 'dijkstra'},
{'pi': 0.9744664634146342, 'score': 0.9744664634146342, 'examples_seen': 281365, 'step': 8400, 'algorithm': 'dijkstra'},
{'pi': 0.9683689024390244, 'score': 0.9683689024390244, 'examples_seen': 282998, 'step': 8450, 'algorithm': 'dijkstra'},
{'pi': 0.9778963414634146, 'score': 0.9778963414634146, 'examples_seen': 284769, 'step': 8500, 'algorithm': 'dijkstra'},
{'pi': 0.9717987804878049, 'score': 0.9717987804878049, 'examples_seen': 286311, 'step': 8550, 'algorithm': 'dijkstra'},
{'pi': 0.9698932926829268, 'score': 0.9698932926829268, 'examples_seen': 288113, 'step': 8600, 'algorithm': 'dijkstra'},
{'pi': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 289593, 'step': 8650, 'algorithm': 'dijkstra'},
{'pi': 0.9717987804878049, 'score': 0.9717987804878049, 'examples_seen': 291383, 'step': 8700, 'algorithm': 'dijkstra'},
{'pi': 0.959984756097561, 'score': 0.959984756097561, 'examples_seen': 293036, 'step': 8750, 'algorithm': 'dijkstra'},
{'pi': 0.9771341463414634, 'score': 0.9771341463414634, 'examples_seen': 294640, 'step': 8800, 'algorithm': 'dijkstra'},
{'pi': 0.9615091463414634, 'score': 0.9615091463414634, 'examples_seen': 296403, 'step': 8850, 'algorithm': 'dijkstra'},
{'pi': 0.9702743902439024, 'score': 0.9702743902439024, 'examples_seen': 297906, 'step': 8900, 'algorithm': 'dijkstra'},
{'pi': 0.9714176829268293, 'score': 0.9714176829268293, 'examples_seen': 299704, 'step': 8950, 'algorithm': 'dijkstra'},
{'pi': 0.9763719512195121, 'score': 0.9763719512195121, 'examples_seen': 301218, 'step': 9000, 'algorithm': 'dijkstra'},
{'pi': 0.9660823170731707, 'score': 0.9660823170731707, 'examples_seen': 303038, 'step': 9050, 'algorithm': 'dijkstra'},
{'pi': 0.9596036585365854, 'score': 0.9596036585365854, 'examples_seen': 304708, 'step': 9100, 'algorithm': 'dijkstra'},
{'pi': 0.979420731707317, 'score': 0.979420731707317, 'examples_seen': 306359, 'step': 9150, 'algorithm': 'dijkstra'},
{'pi': 0.9447408536585366, 'score': 0.9447408536585366, 'examples_seen': 308092, 'step': 9200, 'algorithm': 'dijkstra'},
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 309637, 'step': 9250, 'algorithm': 'dijkstra'},
{'pi': 0.9710365853658537, 'score': 0.9710365853658537, 'examples_seen': 311430, 'step': 9300, 'algorithm': 'dijkstra'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 312953, 'step': 9350, 'algorithm': 'dijkstra'},
{'pi': 0.9809451219512195, 'score': 0.9809451219512195, 'examples_seen': 314753, 'step': 9400, 'algorithm': 'dijkstra'},
{'pi': 0.9626524390243902, 'score': 0.9626524390243902, 'examples_seen': 316399, 'step': 9450, 'algorithm': 'dijkstra'},
{'pi': 0.9714176829268293, 'score': 0.9714176829268293, 'examples_seen': 318024, 'step': 9500, 'algorithm': 'dijkstra'},
{'pi': 0.9649390243902439, 'score': 0.9649390243902439, 'examples_seen': 319762, 'step': 9550, 'algorithm': 'dijkstra'},
{'pi': 0.9382621951219512, 'score': 0.9382621951219512, 'examples_seen': 321309, 'step': 9600, 'algorithm': 'dijkstra'},
{'pi': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 323098, 'step': 9650, 'algorithm': 'dijkstra'},
{'pi': 0.9359756097560976, 'score': 0.9359756097560976, 'examples_seen': 324576, 'step': 9700, 'algorithm': 'dijkstra'},
{'pi': 0.9645579268292683, 'score': 0.9645579268292683, 'examples_seen': 326423, 'step': 9750, 'algorithm': 'dijkstra'},
{'pi': 0.9679878048780488, 'score': 0.9679878048780488, 'examples_seen': 328105, 'step': 9800, 'algorithm': 'dijkstra'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 329745, 'step': 9850, 'algorithm': 'dijkstra'},
{'pi': 0.9512195121951219, 'score': 0.9512195121951219, 'examples_seen': 331493, 'step': 9900, 'algorithm': 'dijkstra'},
{'pi': 0.9721798780487805, 'score': 0.9721798780487805, 'examples_seen': 333046, 'step': 9950, 'algorithm': 'dijkstra'},
