{'is_bridge': 0.8891170431211499, 'score': 0.8891170431211499, 'examples_seen': 138615, 'step': 7950, 'algorithm': 'bridges'},
{'is_bridge': 0.8748083801737353, 'score': 0.8748083801737353, 'examples_seen': 139574, 'step': 8000, 'algorithm': 'bridges'},
{'is_bridge': 0.8205128205128206, 'score': 0.8205128205128206, 'examples_seen': 140446, 'step': 8050, 'algorithm': 'bridges'},
{'is_bridge': 0.8494161032575291, 'score': 0.8494161032575291, 'examples_seen': 141287, 'step': 8100, 'algorithm': 'bridges'},
{'is_bridge': 0.8660436137071652, 'score': 0.8660436137071652, 'examples_seen': 142225, 'step': 8150, 'algorithm': 'bridges'},
{'is_bridge': 0.8062299587723316, 'score': 0.8062299587723316, 'examples_seen': 143004, 'step': 8200, 'algorithm': 'bridges'},
{'is_bridge': 0.7624999999999998, 'score': 0.7624999999999998, 'examples_seen': 143942, 'step': 8250, 'algorithm': 'bridges'},
{'is_bridge': 0.8476426799007444, 'score': 0.8476426799007444, 'examples_seen': 144716, 'step': 8300, 'algorithm': 'bridges'},
{'is_bridge': 0.8291814946619217, 'score': 0.8291814946619217, 'examples_seen': 145679, 'step': 8350, 'algorithm': 'bridges'},
{'is_bridge': 0.8118306986231514, 'score': 0.8118306986231514, 'examples_seen': 146565, 'step': 8400, 'algorithm': 'bridges'},
{'is_bridge': 0.8394711992445704, 'score': 0.8394711992445704, 'examples_seen': 147401, 'step': 8450, 'algorithm': 'bridges'},
{'is_bridge': 0.8059701492537313, 'score': 0.8059701492537313, 'examples_seen': 148333, 'step': 8500, 'algorithm': 'bridges'},
{'is_bridge': 0.8708272859216256, 'score': 0.8708272859216256, 'examples_seen': 149119, 'step': 8550, 'algorithm': 'bridges'},
{'is_bridge': 0.7482229704451927, 'score': 0.7482229704451927, 'examples_seen': 150073, 'step': 8600, 'algorithm': 'bridges'},
{'is_bridge': 0.8176240936977134, 'score': 0.8176240936977134, 'examples_seen': 150833, 'step': 8650, 'algorithm': 'bridges'},
{'is_bridge': 0.7873925501432665, 'score': 0.7873925501432665, 'examples_seen': 151797, 'step': 8700, 'algorithm': 'bridges'},
{'is_bridge': 0.7954091816367265, 'score': 0.7954091816367265, 'examples_seen': 152693, 'step': 8750, 'algorithm': 'bridges'},
{'is_bridge': 0.8907216494845361, 'score': 0.8907216494845361, 'examples_seen': 153521, 'step': 8800, 'algorithm': 'bridges'},
{'is_bridge': 0.8621780388612744, 'score': 0.8621780388612744, 'examples_seen': 154461, 'step': 8850, 'algorithm': 'bridges'},
{'is_bridge': 0.8006413682522714, 'score': 0.8006413682522714, 'examples_seen': 155230, 'step': 8900, 'algorithm': 'bridges'},
{'is_bridge': 0.8830845771144278, 'score': 0.8830845771144278, 'examples_seen': 156183, 'step': 8950, 'algorithm': 'bridges'},
{'is_bridge': 0.8957569408067052, 'score': 0.8957569408067052, 'examples_seen': 156949, 'step': 9000, 'algorithm': 'bridges'},
{'is_bridge': 0.8867699642431467, 'score': 0.8867699642431467, 'examples_seen': 157924, 'step': 9050, 'algorithm': 'bridges'},
{'is_bridge': 0.888888888888889, 'score': 0.888888888888889, 'examples_seen': 158797, 'step': 9100, 'algorithm': 'bridges'},
{'is_bridge': 0.7332704995287465, 'score': 0.7332704995287465, 'examples_seen': 159638, 'step': 9150, 'algorithm': 'bridges'},
{'is_bridge': 0.9119818285065303, 'score': 0.9119818285065303, 'examples_seen': 160562, 'step': 9200, 'algorithm': 'bridges'},
{'is_bridge': 0.8645294725956567, 'score': 0.8645294725956567, 'examples_seen': 161346, 'step': 9250, 'algorithm': 'bridges'},
{'is_bridge': 0.8803131991051454, 'score': 0.8803131991051454, 'examples_seen': 162298, 'step': 9300, 'algorithm': 'bridges'},
{'is_bridge': 0.8094504365690807, 'score': 0.8094504365690807, 'examples_seen': 163059, 'step': 9350, 'algorithm': 'bridges'},
{'is_bridge': 0.8430232558139535, 'score': 0.8430232558139535, 'examples_seen': 164023, 'step': 9400, 'algorithm': 'bridges'},
{'is_bridge': 0.7941567065073041, 'score': 0.7941567065073041, 'examples_seen': 164917, 'step': 9450, 'algorithm': 'bridges'},
{'is_bridge': 0.8793619142572284, 'score': 0.8793619142572284, 'examples_seen': 165735, 'step': 9500, 'algorithm': 'bridges'},
{'is_bridge': 0.8526543878656555, 'score': 0.8526543878656555, 'examples_seen': 166680, 'step': 9550, 'algorithm': 'bridges'},
{'is_bridge': 0.848219862585884, 'score': 0.848219862585884, 'examples_seen': 167445, 'step': 9600, 'algorithm': 'bridges'},
{'is_bridge': 0.8844580777096114, 'score': 0.8844580777096114, 'examples_seen': 168402, 'step': 9650, 'algorithm': 'bridges'},
{'is_bridge': 0.9065155807365439, 'score': 0.9065155807365439, 'examples_seen': 169171, 'step': 9700, 'algorithm': 'bridges'},
{'is_bridge': 0.8651423238450768, 'score': 0.8651423238450768, 'examples_seen': 170137, 'step': 9750, 'algorithm': 'bridges'},
{'is_bridge': 0.85657104736491, 'score': 0.85657104736491, 'examples_seen': 171038, 'step': 9800, 'algorithm': 'bridges'},
{'is_bridge': 0.8479041916167666, 'score': 0.8479041916167666, 'examples_seen': 171857, 'step': 9850, 'algorithm': 'bridges'},
{'is_bridge': 0.9088575096277279, 'score': 0.9088575096277279, 'examples_seen': 172787, 'step': 9900, 'algorithm': 'bridges'},
{'is_bridge': 0.8704188481675392, 'score': 0.8704188481675392, 'examples_seen': 173561, 'step': 9950, 'algorithm': 'bridges'},
