I0715 14:00:44.532279 137161025132032 run.py:723] (val) algo bridges step 6000: {'is_bridge': 0.8769657724329325, 'score': 0.8769657724329325, 'examples_seen': 95185, 'step': 6000, 'algorithm': 'bridges'}
I0715 14:00:46.076019 137161025132032 run.py:723] (val) algo bridges step 6050: {'is_bridge': 0.8102564102564103, 'score': 0.8102564102564103, 'examples_seen': 95970, 'step': 6050, 'algorithm': 'bridges'}
I0715 14:00:47.645787 137161025132032 run.py:723] (val) algo bridges step 6100: {'is_bridge': 0.8674698795180724, 'score': 0.8674698795180724, 'examples_seen': 96745, 'step': 6100, 'algorithm': 'bridges'}
I0715 14:00:49.239076 137161025132032 run.py:723] (val) algo bridges step 6150: {'is_bridge': 0.8517786561264823, 'score': 0.8517786561264823, 'examples_seen': 97528, 'step': 6150, 'algorithm': 'bridges'}
I0715 14:00:50.862255 137161025132032 run.py:723] (val) algo bridges step 6200: {'is_bridge': 0.8441330998248686, 'score': 0.8441330998248686, 'examples_seen': 98310, 'step': 6200, 'algorithm': 'bridges'}
I0715 14:00:52.476927 137161025132032 run.py:723] (val) algo bridges step 6250: {'is_bridge': 0.8050089445438282, 'score': 0.8050089445438282, 'examples_seen': 99125, 'step': 6250, 'algorithm': 'bridges'}
I0715 14:00:54.067141 137161025132032 run.py:723] (val) algo bridges step 6300: {'is_bridge': 0.8849740932642486, 'score': 0.8849740932642486, 'examples_seen': 99930, 'step': 6300, 'algorithm': 'bridges'}
I0715 14:00:55.722738 137161025132032 run.py:723] (val) algo bridges step 6350: {'is_bridge': 0.8131212723658051, 'score': 0.8131212723658051, 'examples_seen': 100714, 'step': 6350, 'algorithm': 'bridges'}
I0715 14:00:57.290942 137161025132032 run.py:723] (val) algo bridges step 6400: {'is_bridge': 0.8409893992932862, 'score': 0.8409893992932862, 'examples_seen': 101505, 'step': 6400, 'algorithm': 'bridges'}
I0715 14:00:58.850575 137161025132032 run.py:723] (val) algo bridges step 6450: {'is_bridge': 0.7816593886462881, 'score': 0.7816593886462881, 'examples_seen': 102293, 'step': 6450, 'algorithm': 'bridges'}
I0715 14:01:00.468364 137161025132032 run.py:723] (val) algo bridges step 6500: {'is_bridge': 0.7635658914728681, 'score': 0.7635658914728681, 'examples_seen': 103075, 'step': 6500, 'algorithm': 'bridges'}
I0715 14:01:02.110697 137161025132032 run.py:723] (val) algo bridges step 6550: {'is_bridge': 0.8137044967880085, 'score': 0.8137044967880085, 'examples_seen': 103854, 'step': 6550, 'algorithm': 'bridges'}
I0715 14:01:03.745150 137161025132032 run.py:723] (val) algo bridges step 6600: {'is_bridge': 0.847750865051903, 'score': 0.847750865051903, 'examples_seen': 104682, 'step': 6600, 'algorithm': 'bridges'}
I0715 14:01:05.339065 137161025132032 run.py:723] (val) algo bridges step 6650: {'is_bridge': 0.8150572831423895, 'score': 0.8150572831423895, 'examples_seen': 105484, 'step': 6650, 'algorithm': 'bridges'}
