I0715 15:40:38.100472 131537578350080 run.py:723] (val) algo insertion_sort step 4850: {'pred': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'insertion_sort'}
I0715 15:40:42.772596 131537578350080 run.py:723] (val) algo insertion_sort step 4900: {'pred': 0.9296875, 'score': 0.9296875, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'insertion_sort'}
I0715 15:40:47.302424 131537578350080 run.py:723] (val) algo insertion_sort step 4950: {'pred': 0.9296875, 'score': 0.9296875, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'insertion_sort'}
I0715 15:40:51.859556 131537578350080 run.py:723] (val) algo insertion_sort step 5000: {'pred': 0.9296875, 'score': 0.9296875, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'insertion_sort'}
I0715 15:40:56.381214 131537578350080 run.py:723] (val) algo insertion_sort step 5050: {'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'insertion_sort'}
I0715 15:41:00.877465 131537578350080 run.py:723] (val) algo insertion_sort step 5100: {'pred': 0.93359375, 'score': 0.93359375, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'insertion_sort'}
I0715 15:41:05.465809 131537578350080 run.py:723] (val) algo insertion_sort step 5150: {'pred': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'insertion_sort'}
I0715 15:41:10.131864 131537578350080 run.py:723] (val) algo insertion_sort step 5200: {'pred': 0.962890625, 'score': 0.962890625, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'insertion_sort'}
I0715 15:41:14.743161 131537578350080 run.py:723] (val) algo insertion_sort step 5250: {'pred': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'insertion_sort'}
I0715 15:41:19.235373 131537578350080 run.py:723] (val) algo insertion_sort step 5300: {'pred': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'insertion_sort'}
I0715 15:41:23.792916 131537578350080 run.py:723] (val) algo insertion_sort step 5350: {'pred': 0.94140625, 'score': 0.94140625, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'insertion_sort'}
I0715 15:41:28.359238 131537578350080 run.py:723] (val) algo insertion_sort step 5400: {'pred': 0.939453125, 'score': 0.939453125, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'insertion_sort'}
I0715 15:41:32.966424 131537578350080 run.py:723] (val) algo insertion_sort step 5450: {'pred': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'insertion_sort'}
