I0715 16:34:26.875461 129347681601024 run.py:723] (val) algo matrix_chain_order step 5250: {'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 431606, 'step': 5250, 'algorithm': 'matrix_chain_order'}
I0715 16:34:30.710926 129347681601024 run.py:723] (val) algo matrix_chain_order step 5300: {'s': 0.99072265625, 'score': 0.99072265625, 'examples_seen': 435714, 'step': 5300, 'algorithm': 'matrix_chain_order'}
I0715 16:34:34.332667 129347681601024 run.py:723] (val) algo matrix_chain_order step 5350: {'s': 0.99163818359375, 'score': 0.99163818359375, 'examples_seen': 439802, 'step': 5350, 'algorithm': 'matrix_chain_order'}
I0715 16:34:38.048928 129347681601024 run.py:723] (val) algo matrix_chain_order step 5400: {'s': 0.99200439453125, 'score': 0.99200439453125, 'examples_seen': 443843, 'step': 5400, 'algorithm': 'matrix_chain_order'}
I0715 16:34:41.925213 129347681601024 run.py:723] (val) algo matrix_chain_order step 5450: {'s': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 447900, 'step': 5450, 'algorithm': 'matrix_chain_order'}
I0715 16:34:45.791933 129347681601024 run.py:723] (val) algo matrix_chain_order step 5500: {'s': 0.992431640625, 'score': 0.992431640625, 'examples_seen': 451937, 'step': 5500, 'algorithm': 'matrix_chain_order'}
I0715 16:34:49.642889 129347681601024 run.py:723] (val) algo matrix_chain_order step 5550: {'s': 0.9910888671875, 'score': 0.9910888671875, 'examples_seen': 456230, 'step': 5550, 'algorithm': 'matrix_chain_order'}
I0715 16:34:53.252768 129347681601024 run.py:723] (val) algo matrix_chain_order step 5600: {'s': 0.99127197265625, 'score': 0.99127197265625, 'examples_seen': 460382, 'step': 5600, 'algorithm': 'matrix_chain_order'}
I0715 16:34:56.899593 129347681601024 run.py:723] (val) algo matrix_chain_order step 5650: {'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 464465, 'step': 5650, 'algorithm': 'matrix_chain_order'}
I0715 16:35:00.716997 129347681601024 run.py:723] (val) algo matrix_chain_order step 5700: {'s': 0.99310302734375, 'score': 0.99310302734375, 'examples_seen': 468540, 'step': 5700, 'algorithm': 'matrix_chain_order'}
I0715 16:35:04.549347 129347681601024 run.py:723] (val) algo matrix_chain_order step 5750: {'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 472598, 'step': 5750, 'algorithm': 'matrix_chain_order'}
I0715 16:35:08.421896 129347681601024 run.py:723] (val) algo matrix_chain_order step 5800: {'s': 0.99139404296875, 'score': 0.99139404296875, 'examples_seen': 476650, 'step': 5800, 'algorithm': 'matrix_chain_order'}
I0715 16:35:12.494079 129347681601024 run.py:723] (val) algo matrix_chain_order step 5850: {'s': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 480693, 'step': 5850, 'algorithm': 'matrix_chain_order'}
I0715 16:35:16.322534 129347681601024 run.py:723] (val) algo matrix_chain_order step 5900: {'s': 0.9901123046875, 'score': 0.9901123046875, 'examples_seen': 484978, 'step': 5900, 'algorithm': 'matrix_chain_order'}
I0715 16:35:20.127225 129347681601024 run.py:723] (val) algo matrix_chain_order step 5950: {'s': 0.99114990234375, 'score': 0.99114990234375, 'examples_seen': 489138, 'step': 5950, 'algorithm': 'matrix_chain_order'}
I0715 16:35:23.797093 129347681601024 run.py:723] (val) algo matrix_chain_order step 6000: {'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 493225, 'step': 6000, 'algorithm': 'matrix_chain_order'}
I0715 16:35:27.555386 129347681601024 run.py:723] (val) algo matrix_chain_order step 6050: {'s': 0.99334716796875, 'score': 0.99334716796875, 'examples_seen': 497301, 'step': 6050, 'algorithm': 'matrix_chain_order'}
I0715 16:35:31.409669 129347681601024 run.py:723] (val) algo matrix_chain_order step 6100: {'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 501353, 'step': 6100, 'algorithm': 'matrix_chain_order'}
I0715 16:35:35.133830 129347681601024 run.py:723] (val) algo matrix_chain_order step 6150: {'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 505404, 'step': 6150, 'algorithm': 'matrix_chain_order'}
