I0716 17:33:13.770644 131698539693568 run.py:722] (val) algo quicksort step 5150: {'pred': 0.734375, 'score': 0.734375, 'examples_seen': 178730, 'step': 5150, 'algorithm': 'quicksort'}
I0716 17:33:17.863629 131698539693568 run.py:722] (val) algo quicksort step 5200: {'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 180548, 'step': 5200, 'algorithm': 'quicksort'}
I0716 17:33:21.908173 131698539693568 run.py:722] (val) algo quicksort step 5250: {'pred': 0.7734375, 'score': 0.7734375, 'examples_seen': 182320, 'step': 5250, 'algorithm': 'quicksort'}
I0716 17:33:25.882377 131698539693568 run.py:722] (val) algo quicksort step 5300: {'pred': 0.80859375, 'score': 0.80859375, 'examples_seen': 184039, 'step': 5300, 'algorithm': 'quicksort'}
I0716 17:33:29.829685 131698539693568 run.py:722] (val) algo quicksort step 5350: {'pred': 0.796875, 'score': 0.796875, 'examples_seen': 185749, 'step': 5350, 'algorithm': 'quicksort'}
I0716 17:33:33.854671 131698539693568 run.py:722] (val) algo quicksort step 5400: {'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 187469, 'step': 5400, 'algorithm': 'quicksort'}
I0716 17:33:37.814069 131698539693568 run.py:722] (val) algo quicksort step 5450: {'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 189173, 'step': 5450, 'algorithm': 'quicksort'}
I0716 17:33:41.774617 131698539693568 run.py:722] (val) algo quicksort step 5500: {'pred': 0.876953125, 'score': 0.876953125, 'examples_seen': 190881, 'step': 5500, 'algorithm': 'quicksort'}
I0716 17:33:45.929476 131698539693568 run.py:722] (val) algo quicksort step 5550: {'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 192725, 'step': 5550, 'algorithm': 'quicksort'}
I0716 17:33:50.048853 131698539693568 run.py:722] (val) algo quicksort step 5600: {'pred': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 194484, 'step': 5600, 'algorithm': 'quicksort'}
I0716 17:33:54.060653 131698539693568 run.py:722] (val) algo quicksort step 5650: {'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 196211, 'step': 5650, 'algorithm': 'quicksort'}
I0716 17:33:58.029372 131698539693568 run.py:722] (val) algo quicksort step 5700: {'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 197927, 'step': 5700, 'algorithm': 'quicksort'}
I0716 17:34:02.016338 131698539693568 run.py:722] (val) algo quicksort step 5750: {'pred': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 199642, 'step': 5750, 'algorithm': 'quicksort'}
I0716 17:34:05.977768 131698539693568 run.py:722] (val) algo quicksort step 5800: {'pred': 0.748046875, 'score': 0.748046875, 'examples_seen': 201346, 'step': 5800, 'algorithm': 'quicksort'}
I0716 17:34:09.927115 131698539693568 run.py:722] (val) algo quicksort step 5850: {'pred': 0.8046875, 'score': 0.8046875, 'examples_seen': 203048, 'step': 5850, 'algorithm': 'quicksort'}
I0716 17:34:14.052452 131698539693568 run.py:722] (val) algo quicksort step 5900: {'pred': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 204883, 'step': 5900, 'algorithm': 'quicksort'}
I0716 17:34:18.103889 131698539693568 run.py:722] (val) algo quicksort step 5950: {'pred': 0.8515625, 'score': 0.8515625, 'examples_seen': 206643, 'step': 5950, 'algorithm': 'quicksort'}
I0716 17:34:22.088789 131698539693568 run.py:722] (val) algo quicksort step 6000: {'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 208390, 'step': 6000, 'algorithm': 'quicksort'}
I0716 17:34:26.095983 131698539693568 run.py:722] (val) algo quicksort step 6050: {'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 210109, 'step': 6050, 'algorithm': 'quicksort'}
I0716 17:34:30.074289 131698539693568 run.py:722] (val) algo quicksort step 6100: {'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 211813, 'step': 6100, 'algorithm': 'quicksort'}
I0716 17:34:34.077722 131698539693568 run.py:722] (val) algo quicksort step 6150: {'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 213516, 'step': 6150, 'algorithm': 'quicksort'}
I0716 17:34:38.077067 131698539693568 run.py:722] (val) algo quicksort step 6200: {'pred': 0.830078125, 'score': 0.830078125, 'examples_seen': 215210, 'step': 6200, 'algorithm': 'quicksort'}
I0716 17:34:42.170207 131698539693568 run.py:722] (val) algo quicksort step 6250: {'pred': 0.8349609375, 'score': 0.8349609375, 'examples_seen': 217031, 'step': 6250, 'algorithm': 'quicksort'}
I0716 17:34:46.196204 131698539693568 run.py:722] (val) algo quicksort step 6300: {'pred': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 218793, 'step': 6300, 'algorithm': 'quicksort'}
I0716 17:34:50.150705 131698539693568 run.py:722] (val) algo quicksort step 6350: {'pred': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 220515, 'step': 6350, 'algorithm': 'quicksort'}
I0716 17:34:54.056650 131698539693568 run.py:722] (val) algo quicksort step 6400: {'pred': 0.859375, 'score': 0.859375, 'examples_seen': 222232, 'step': 6400, 'algorithm': 'quicksort'}
I0716 17:34:57.994936 131698539693568 run.py:722] (val) algo quicksort step 6450: {'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 223938, 'step': 6450, 'algorithm': 'quicksort'}
I0716 17:35:01.939798 131698539693568 run.py:722] (val) algo quicksort step 6500: {'pred': 0.849609375, 'score': 0.849609375, 'examples_seen': 225652, 'step': 6500, 'algorithm': 'quicksort'}
I0716 17:35:05.912479 131698539693568 run.py:722] (val) algo quicksort step 6550: {'pred': 0.859375, 'score': 0.859375, 'examples_seen': 227364, 'step': 6550, 'algorithm': 'quicksort'}
I0716 17:35:09.943241 131698539693568 run.py:722] (val) algo quicksort step 6600: {'pred': 0.87890625, 'score': 0.87890625, 'examples_seen': 229186, 'step': 6600, 'algorithm': 'quicksort'}
I0716 17:35:13.936153 131698539693568 run.py:722] (val) algo quicksort step 6650: {'pred': 0.853515625, 'score': 0.853515625, 'examples_seen': 230947, 'step': 6650, 'algorithm': 'quicksort'}
I0716 17:35:17.861056 131698539693568 run.py:722] (val) algo quicksort step 6700: {'pred': 0.87890625, 'score': 0.87890625, 'examples_seen': 232676, 'step': 6700, 'algorithm': 'quicksort'}
I0716 17:35:21.765959 131698539693568 run.py:722] (val) algo quicksort step 6750: {'pred': 0.859375, 'score': 0.859375, 'examples_seen': 234395, 'step': 6750, 'algorithm': 'quicksort'}
I0716 17:35:25.666699 131698539693568 run.py:722] (val) algo quicksort step 6800: {'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 236102, 'step': 6800, 'algorithm': 'quicksort'}
I0716 17:35:29.622592 131698539693568 run.py:722] (val) algo quicksort step 6850: {'pred': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 237800, 'step': 6850, 'algorithm': 'quicksort'}
I0716 17:35:33.580215 131698539693568 run.py:722] (val) algo quicksort step 6900: {'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 239507, 'step': 6900, 'algorithm': 'quicksort'}
I0716 17:35:37.655383 131698539693568 run.py:722] (val) algo quicksort step 6950: {'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 241329, 'step': 6950, 'algorithm': 'quicksort'}
I0716 17:35:41.692972 131698539693568 run.py:722] (val) algo quicksort step 7000: {'pred': 0.8369140625, 'score': 0.8369140625, 'examples_seen': 243088, 'step': 7000, 'algorithm': 'quicksort'}
I0716 17:35:45.732834 131698539693568 run.py:722] (val) algo quicksort step 7050: {'pred': 0.869140625, 'score': 0.869140625, 'examples_seen': 244819, 'step': 7050, 'algorithm': 'quicksort'}
