{'is_bridge': 0.8369477911646586, 'score': 0.8369477911646586, 'examples_seen': 110221, 'step': 6950, 'algorithm': 'bridges'}
{'is_bridge': 0.8569092395748161, 'score': 0.8569092395748161, 'examples_seen': 111023, 'step': 7000, 'algorithm': 'bridges'}
{'is_bridge': 0.8433048433048432, 'score': 0.8433048433048432, 'examples_seen': 111818, 'step': 7050, 'algorithm': 'bridges'}
{'is_bridge': 0.8157894736842104, 'score': 0.8157894736842104, 'examples_seen': 112603, 'step': 7100, 'algorithm': 'bridges'}
{'is_bridge': 0.8025830258302583, 'score': 0.8025830258302583, 'examples_seen': 113385, 'step': 7150, 'algorithm': 'bridges'}
{'is_bridge': 0.843579766536965, 'score': 0.843579766536965, 'examples_seen': 114163, 'step': 7200, 'algorithm': 'bridges'}
{'is_bridge': 0.7526020816653323, 'score': 0.7526020816653323, 'examples_seen': 114957, 'step': 7250, 'algorithm': 'bridges'}
{'is_bridge': 0.8150732728541522, 'score': 0.8150732728541522, 'examples_seen': 115775, 'step': 7300, 'algorithm': 'bridges'}
{'is_bridge': 0.7772657450076805, 'score': 0.7772657450076805, 'examples_seen': 116585, 'step': 7350, 'algorithm': 'bridges'}
{'is_bridge': 0.7996618765849535, 'score': 0.7996618765849535, 'examples_seen': 117369, 'step': 7400, 'algorithm': 'bridges'}
{'is_bridge': 0.7673469387755102, 'score': 0.7673469387755102, 'examples_seen': 118150, 'step': 7450, 'algorithm': 'bridges'}
{'is_bridge': 0.8436944937833039, 'score': 0.8436944937833039, 'examples_seen': 118931, 'step': 7500, 'algorithm': 'bridges'}
{'is_bridge': 0.763013698630137, 'score': 0.763013698630137, 'examples_seen': 119715, 'step': 7550, 'algorithm': 'bridges'}
{'is_bridge': 0.8268251273344651, 'score': 0.8268251273344651, 'examples_seen': 120499, 'step': 7600, 'algorithm': 'bridges'}
{'is_bridge': 0.7631133671742809, 'score': 0.7631133671742809, 'examples_seen': 121320, 'step': 7650, 'algorithm': 'bridges'}
{'is_bridge': 0.8076379066478078, 'score': 0.8076379066478078, 'examples_seen': 122120, 'step': 7700, 'algorithm': 'bridges'}
{'is_bridge': 0.8292682926829269, 'score': 0.8292682926829269, 'examples_seen': 122916, 'step': 7750, 'algorithm': 'bridges'}
{'is_bridge': 0.7814569536423841, 'score': 0.7814569536423841, 'examples_seen': 123694, 'step': 7800, 'algorithm': 'bridges'}
{'is_bridge': 0.790144435004248, 'score': 0.790144435004248, 'examples_seen': 124473, 'step': 7850, 'algorithm': 'bridges'}
{'is_bridge': 0.7982646420824295, 'score': 0.7982646420824295, 'examples_seen': 125257, 'step': 7900, 'algorithm': 'bridges'}
{'is_bridge': 0.8573680063041765, 'score': 0.8573680063041765, 'examples_seen': 126040, 'step': 7950, 'algorithm': 'bridges'}
{'is_bridge': 0.8706577974870658, 'score': 0.8706577974870658, 'examples_seen': 126860, 'step': 8000, 'algorithm': 'bridges'}
{'is_bridge': 0.8443197755960729, 'score': 0.8443197755960729, 'examples_seen': 127654, 'step': 8050, 'algorithm': 'bridges'}
{'is_bridge': 0.7971223021582734, 'score': 0.7971223021582734, 'examples_seen': 128447, 'step': 8100, 'algorithm': 'bridges'}
{'is_bridge': 0.7681818181818182, 'score': 0.7681818181818182, 'examples_seen': 129242, 'step': 8150, 'algorithm': 'bridges'}
{'is_bridge': 0.8794326241134752, 'score': 0.8794326241134752, 'examples_seen': 130027, 'step': 8200, 'algorithm': 'bridges'}
{'is_bridge': 0.7955801104972375, 'score': 0.7955801104972375, 'examples_seen': 130806, 'step': 8250, 'algorithm': 'bridges'}
{'is_bridge': 0.8104575163398693, 'score': 0.8104575163398693, 'examples_seen': 131584, 'step': 8300, 'algorithm': 'bridges'}
{'is_bridge': 0.7914517317612381, 'score': 0.7914517317612381, 'examples_seen': 132407, 'step': 8350, 'algorithm': 'bridges'}
{'is_bridge': 0.7758761206193969, 'score': 0.7758761206193969, 'examples_seen': 133208, 'step': 8400, 'algorithm': 'bridges'}
{'is_bridge': 0.746268656716418, 'score': 0.746268656716418, 'examples_seen': 133997, 'step': 8450, 'algorithm': 'bridges'}
{'is_bridge': 0.7861842105263158, 'score': 0.7861842105263158, 'examples_seen': 134780, 'step': 8500, 'algorithm': 'bridges'}
{'is_bridge': 0.8319444444444445, 'score': 0.8319444444444445, 'examples_seen': 135570, 'step': 8550, 'algorithm': 'bridges'}
{'is_bridge': 0.813953488372093, 'score': 0.813953488372093, 'examples_seen': 136362, 'step': 8600, 'algorithm': 'bridges'}
{'is_bridge': 0.8088803088803087, 'score': 0.8088803088803087, 'examples_seen': 137135, 'step': 8650, 'algorithm': 'bridges'}
{'is_bridge': 0.8494983277591973, 'score': 0.8494983277591973, 'examples_seen': 137954, 'step': 8700, 'algorithm': 'bridges'}
{'is_bridge': 0.7574525745257451, 'score': 0.7574525745257451, 'examples_seen': 138756, 'step': 8750, 'algorithm': 'bridges'}
{'is_bridge': 0.8589341692789968, 'score': 0.8589341692789968, 'examples_seen': 139540, 'step': 8800, 'algorithm': 'bridges'}
{'is_bridge': 0.8204053109713487, 'score': 0.8204053109713487, 'examples_seen': 140330, 'step': 8850, 'algorithm': 'bridges'}
{'is_bridge': 0.8658008658008658, 'score': 0.8658008658008658, 'examples_seen': 141109, 'step': 8900, 'algorithm': 'bridges'}
{'is_bridge': 0.8631732168850073, 'score': 0.8631732168850073, 'examples_seen': 141899, 'step': 8950, 'algorithm': 'bridges'}
{'is_bridge': 0.7913223140495869, 'score': 0.7913223140495869, 'examples_seen': 142677, 'step': 9000, 'algorithm': 'bridges'}
{'is_bridge': 0.7787021630615639, 'score': 0.7787021630615639, 'examples_seen': 143489, 'step': 9050, 'algorithm': 'bridges'}
{'is_bridge': 0.8196226415094341, 'score': 0.8196226415094341, 'examples_seen': 144301, 'step': 9100, 'algorithm': 'bridges'}
{'is_bridge': 0.8626023657870792, 'score': 0.8626023657870792, 'examples_seen': 145094, 'step': 9150, 'algorithm': 'bridges'}
{'is_bridge': 0.8178913738019169, 'score': 0.8178913738019169, 'examples_seen': 145880, 'step': 9200, 'algorithm': 'bridges'}
{'is_bridge': 0.822857142857143, 'score': 0.822857142857143, 'examples_seen': 146666, 'step': 9250, 'algorithm': 'bridges'}
{'is_bridge': 0.8252227553118574, 'score': 0.8252227553118574, 'examples_seen': 147448, 'step': 9300, 'algorithm': 'bridges'}
{'is_bridge': 0.7749576988155669, 'score': 0.7749576988155669, 'examples_seen': 148230, 'step': 9350, 'algorithm': 'bridges'}
{'is_bridge': 0.8248275862068966, 'score': 0.8248275862068966, 'examples_seen': 149047, 'step': 9400, 'algorithm': 'bridges'}
{'is_bridge': 0.782122905027933, 'score': 0.782122905027933, 'examples_seen': 149855, 'step': 9450, 'algorithm': 'bridges'}
{'is_bridge': 0.8482293423271502, 'score': 0.8482293423271502, 'examples_seen': 150644, 'step': 9500, 'algorithm': 'bridges'}
{'is_bridge': 0.7466666666666667, 'score': 0.7466666666666667, 'examples_seen': 151437, 'step': 9550, 'algorithm': 'bridges'}
{'is_bridge': 0.8167539267015708, 'score': 0.8167539267015708, 'examples_seen': 152222, 'step': 9600, 'algorithm': 'bridges'}
{'is_bridge': 0.8381265406737881, 'score': 0.8381265406737881, 'examples_seen': 153008, 'step': 9650, 'algorithm': 'bridges'}
{'is_bridge': 0.7990074441687345, 'score': 0.7990074441687345, 'examples_seen': 153803, 'step': 9700, 'algorithm': 'bridges'}
{'is_bridge': 0.7876874506708761, 'score': 0.7876874506708761, 'examples_seen': 154616, 'step': 9750, 'algorithm': 'bridges'}
{'is_bridge': 0.8248914616497829, 'score': 0.8248914616497829, 'examples_seen': 155420, 'step': 9800, 'algorithm': 'bridges'}
{'is_bridge': 0.8134057971014493, 'score': 0.8134057971014493, 'examples_seen': 156214, 'step': 9850, 'algorithm': 'bridges'}
{'is_bridge': 0.8206071757129715, 'score': 0.8206071757129715, 'examples_seen': 157002, 'step': 9900, 'algorithm': 'bridges'}
{'is_bridge': 0.7743026204564666, 'score': 0.7743026204564666, 'examples_seen': 157775, 'step': 9950, 'algorithm': 'bridges'}
