I0716 17:44:01.043326 124054970734080 run.py:722] (val) algo segments_intersect step 5000: {'intersect': 0.9429530201342282, 'score': 0.9429530201342282, 'examples_seen': 256064, 'step': 5000, 'algorithm': 'segments_intersect'}
I0716 17:44:03.012373 124054970734080 run.py:722] (val) algo segments_intersect step 5050: {'intersect': 0.9342257096699748, 'score': 0.9342257096699748, 'examples_seen': 258576, 'step': 5050, 'algorithm': 'segments_intersect'}
I0716 17:44:04.815062 124054970734080 run.py:722] (val) algo segments_intersect step 5100: {'intersect': 0.9464890494468278, 'score': 0.9464890494468278, 'examples_seen': 261184, 'step': 5100, 'algorithm': 'segments_intersect'}
I0716 17:44:06.657302 124054970734080 run.py:722] (val) algo segments_intersect step 5150: {'intersect': 0.9406257698940625, 'score': 0.9406257698940625, 'examples_seen': 263712, 'step': 5150, 'algorithm': 'segments_intersect'}
I0716 17:44:08.446299 124054970734080 run.py:722] (val) algo segments_intersect step 5200: {'intersect': 0.9377874606632776, 'score': 0.9377874606632776, 'examples_seen': 266240, 'step': 5200, 'algorithm': 'segments_intersect'}
I0716 17:44:10.298255 124054970734080 run.py:722] (val) algo segments_intersect step 5250: {'intersect': 0.9242242001443348, 'score': 0.9242242001443348, 'examples_seen': 268848, 'step': 5250, 'algorithm': 'segments_intersect'}
I0716 17:44:12.125761 124054970734080 run.py:722] (val) algo segments_intersect step 5300: {'intersect': 0.9237189891027128, 'score': 0.9237189891027128, 'examples_seen': 271360, 'step': 5300, 'algorithm': 'segments_intersect'}
I0716 17:44:13.962906 124054970734080 run.py:722] (val) algo segments_intersect step 5350: {'intersect': 0.940945846606224, 'score': 0.940945846606224, 'examples_seen': 273984, 'step': 5350, 'algorithm': 'segments_intersect'}
I0716 17:44:15.785907 124054970734080 run.py:722] (val) algo segments_intersect step 5400: {'intersect': 0.944654683065279, 'score': 0.944654683065279, 'examples_seen': 276496, 'step': 5400, 'algorithm': 'segments_intersect'}
I0716 17:44:17.598119 124054970734080 run.py:722] (val) algo segments_intersect step 5450: {'intersect': 0.9011776753712238, 'score': 0.9011776753712238, 'examples_seen': 279104, 'step': 5450, 'algorithm': 'segments_intersect'}
I0716 17:44:19.434683 124054970734080 run.py:722] (val) algo segments_intersect step 5500: {'intersect': 0.9401373895976448, 'score': 0.9401373895976448, 'examples_seen': 281632, 'step': 5500, 'algorithm': 'segments_intersect'}
I0716 17:44:21.224694 124054970734080 run.py:722] (val) algo segments_intersect step 5550: {'intersect': 0.9467598169115876, 'score': 0.9467598169115876, 'examples_seen': 284160, 'step': 5550, 'algorithm': 'segments_intersect'}
