I0716 17:58:35.083866 136905113048576 run.py:722] (val) algo topological_sort step 4450: {'topo': 0.3779296875, 'topo_head': 1.0, 'score': 0.68896484375, 'examples_seen': 84873, 'step': 4450, 'algorithm': 'topological_sort'}
I0716 17:58:36.457292 136905113048576 run.py:722] (val) algo topological_sort step 4500: {'topo': 0.4423828125, 'topo_head': 1.0, 'score': 0.72119140625, 'examples_seen': 85861, 'step': 4500, 'algorithm': 'topological_sort'}
I0716 17:58:37.804962 136905113048576 run.py:722] (val) algo topological_sort step 4550: {'topo': 0.31640625, 'topo_head': 0.9375, 'score': 0.626953125, 'examples_seen': 86825, 'step': 4550, 'algorithm': 'topological_sort'}
I0716 17:58:39.101328 136905113048576 run.py:722] (val) algo topological_sort step 4600: {'topo': 0.3046875, 'topo_head': 0.96875, 'score': 0.63671875, 'examples_seen': 87767, 'step': 4600, 'algorithm': 'topological_sort'}
I0716 17:58:40.453116 136905113048576 run.py:722] (val) algo topological_sort step 4650: {'topo': 0.41015625, 'topo_head': 0.953125, 'score': 0.681640625, 'examples_seen': 88721, 'step': 4650, 'algorithm': 'topological_sort'}
I0716 17:58:41.799897 136905113048576 run.py:722] (val) algo topological_sort step 4700: {'topo': 0.3291015625, 'topo_head': 0.890625, 'score': 0.60986328125, 'examples_seen': 89662, 'step': 4700, 'algorithm': 'topological_sort'}
I0716 17:58:43.140618 136905113048576 run.py:722] (val) algo topological_sort step 4750: {'topo': 0.36328125, 'topo_head': 0.984375, 'score': 0.673828125, 'examples_seen': 90611, 'step': 4750, 'algorithm': 'topological_sort'}
I0716 17:58:44.495711 136905113048576 run.py:722] (val) algo topological_sort step 4800: {'topo': 0.4072265625, 'topo_head': 1.0, 'score': 0.70361328125, 'examples_seen': 91545, 'step': 4800, 'algorithm': 'topological_sort'}
I0716 17:58:45.879626 136905113048576 run.py:722] (val) algo topological_sort step 4850: {'topo': 0.3974609375, 'topo_head': 1.0, 'score': 0.69873046875, 'examples_seen': 92525, 'step': 4850, 'algorithm': 'topological_sort'}
I0716 17:58:47.236552 136905113048576 run.py:722] (val) algo topological_sort step 4900: {'topo': 0.4453125, 'topo_head': 1.0, 'score': 0.72265625, 'examples_seen': 93484, 'step': 4900, 'algorithm': 'topological_sort'}
