I0716 16:10:36.698937 128490841785856 run.py:722] (val) algo mst_kruskal step 4500: {'in_mst': 0.7703703703703704, 'score': 0.7703703703703704, 'examples_seen': 372068, 'step': 4500, 'algorithm': 'mst_kruskal'}
I0716 16:10:40.046732 128490841785856 run.py:722] (val) algo mst_kruskal step 4550: {'in_mst': 0.7978008552229688, 'score': 0.7978008552229688, 'examples_seen': 376301, 'step': 4550, 'algorithm': 'mst_kruskal'}
I0716 16:10:43.379388 128490841785856 run.py:722] (val) algo mst_kruskal step 4600: {'in_mst': 0.8051367950865439, 'score': 0.8051367950865439, 'examples_seen': 380462, 'step': 4600, 'algorithm': 'mst_kruskal'}
I0716 16:10:46.724019 128490841785856 run.py:722] (val) algo mst_kruskal step 4650: {'in_mst': 0.7730900798175598, 'score': 0.7730900798175598, 'examples_seen': 384591, 'step': 4650, 'algorithm': 'mst_kruskal'}
I0716 16:10:49.892555 128490841785856 run.py:722] (val) algo mst_kruskal step 4700: {'in_mst': 0.8279418659165496, 'score': 0.8279418659165496, 'examples_seen': 388658, 'step': 4700, 'algorithm': 'mst_kruskal'}
I0716 16:10:53.091271 128490841785856 run.py:722] (val) algo mst_kruskal step 4750: {'in_mst': 0.6434403919433859, 'score': 0.6434403919433859, 'examples_seen': 392694, 'step': 4750, 'algorithm': 'mst_kruskal'}
I0716 16:10:56.594284 128490841785856 run.py:722] (val) algo mst_kruskal step 4800: {'in_mst': 0.763471355643789, 'score': 0.763471355643789, 'examples_seen': 396779, 'step': 4800, 'algorithm': 'mst_kruskal'}
I0716 16:11:00.015880 128490841785856 run.py:722] (val) algo mst_kruskal step 4850: {'in_mst': 0.8249859313449635, 'score': 0.8249859313449635, 'examples_seen': 401094, 'step': 4850, 'algorithm': 'mst_kruskal'}
I0716 16:11:03.159591 128490841785856 run.py:722] (val) algo mst_kruskal step 4900: {'in_mst': 0.7945034353529045, 'score': 0.7945034353529045, 'examples_seen': 405307, 'step': 4900, 'algorithm': 'mst_kruskal'}
I0716 16:11:06.379655 128490841785856 run.py:722] (val) algo mst_kruskal step 4950: {'in_mst': 0.821793416572077, 'score': 0.821793416572077, 'examples_seen': 409441, 'step': 4950, 'algorithm': 'mst_kruskal'}
I0716 16:11:09.569396 128490841785856 run.py:722] (val) algo mst_kruskal step 5000: {'in_mst': 0.7824007651841224, 'score': 0.7824007651841224, 'examples_seen': 413530, 'step': 5000, 'algorithm': 'mst_kruskal'}
I0716 16:11:12.740119 128490841785856 run.py:722] (val) algo mst_kruskal step 5050: {'in_mst': 0.7752112676056337, 'score': 0.7752112676056337, 'examples_seen': 417587, 'step': 5050, 'algorithm': 'mst_kruskal'}
I0716 16:11:16.070428 128490841785856 run.py:722] (val) algo mst_kruskal step 5100: {'in_mst': 0.7194679564691656, 'score': 0.7194679564691656, 'examples_seen': 421709, 'step': 5100, 'algorithm': 'mst_kruskal'}
I0716 16:11:19.364306 128490841785856 run.py:722] (val) algo mst_kruskal step 5150: {'in_mst': 0.7984790874524714, 'score': 0.7984790874524714, 'examples_seen': 425755, 'step': 5150, 'algorithm': 'mst_kruskal'}
I0716 16:11:22.792375 128490841785856 run.py:722] (val) algo mst_kruskal step 5200: {'in_mst': 0.8174006444683136, 'score': 0.8174006444683136, 'examples_seen': 430070, 'step': 5200, 'algorithm': 'mst_kruskal'}
I0716 16:11:26.049474 128490841785856 run.py:722] (val) algo mst_kruskal step 5250: {'in_mst': 0.7013463892288863, 'score': 0.7013463892288863, 'examples_seen': 434316, 'step': 5250, 'algorithm': 'mst_kruskal'}
