{'return': 0.922607421875, 'score': 0.922607421875, 'examples_seen': 641653, 'step': 8350, 'algorithm': 'binary_search'}
{'return': 0.892822265625, 'score': 0.892822265625, 'examples_seen': 645535, 'step': 8400, 'algorithm': 'binary_search'}
{'return': 0.900634765625, 'score': 0.900634765625, 'examples_seen': 649367, 'step': 8450, 'algorithm': 'binary_search'}
{'return': 0.936767578125, 'score': 0.936767578125, 'examples_seen': 653214, 'step': 8500, 'algorithm': 'binary_search'}
{'return': 0.912841796875, 'score': 0.912841796875, 'examples_seen': 657034, 'step': 8550, 'algorithm': 'binary_search'}
{'return': 0.90966796875, 'score': 0.90966796875, 'examples_seen': 660842, 'step': 8600, 'algorithm': 'binary_search'}
{'return': 0.92431640625, 'score': 0.92431640625, 'examples_seen': 664664, 'step': 8650, 'algorithm': 'binary_search'}
{'return': 0.909912109375, 'score': 0.909912109375, 'examples_seen': 668540, 'step': 8700, 'algorithm': 'binary_search'}
{'return': 0.918212890625, 'score': 0.918212890625, 'examples_seen': 672406, 'step': 8750, 'algorithm': 'binary_search'}
{'return': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 676244, 'step': 8800, 'algorithm': 'binary_search'}
{'return': 0.88037109375, 'score': 0.88037109375, 'examples_seen': 680084, 'step': 8850, 'algorithm': 'binary_search'}
{'return': 0.877685546875, 'score': 0.877685546875, 'examples_seen': 683907, 'step': 8900, 'algorithm': 'binary_search'}
{'return': 0.92333984375, 'score': 0.92333984375, 'examples_seen': 687706, 'step': 8950, 'algorithm': 'binary_search'}
{'return': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 691529, 'step': 9000, 'algorithm': 'binary_search'}
{'return': 0.89501953125, 'score': 0.89501953125, 'examples_seen': 695422, 'step': 9050, 'algorithm': 'binary_search'}
{'return': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 699300, 'step': 9100, 'algorithm': 'binary_search'}
{'return': 0.904296875, 'score': 0.904296875, 'examples_seen': 703148, 'step': 9150, 'algorithm': 'binary_search'}
{'return': 0.76318359375, 'score': 0.76318359375, 'examples_seen': 706976, 'step': 9200, 'algorithm': 'binary_search'}
{'return': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 710797, 'step': 9250, 'algorithm': 'binary_search'}
{'return': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 714614, 'step': 9300, 'algorithm': 'binary_search'}
{'return': 0.927001953125, 'score': 0.927001953125, 'examples_seen': 718432, 'step': 9350, 'algorithm': 'binary_search'}
{'return': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 722305, 'step': 9400, 'algorithm': 'binary_search'}
{'return': 0.85595703125, 'score': 0.85595703125, 'examples_seen': 726188, 'step': 9450, 'algorithm': 'binary_search'}
{'return': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 730035, 'step': 9500, 'algorithm': 'binary_search'}
{'return': 0.80322265625, 'score': 0.80322265625, 'examples_seen': 733888, 'step': 9550, 'algorithm': 'binary_search'}
{'return': 0.9296875, 'score': 0.9296875, 'examples_seen': 737704, 'step': 9600, 'algorithm': 'binary_search'}
{'return': 0.910400390625, 'score': 0.910400390625, 'examples_seen': 741526, 'step': 9650, 'algorithm': 'binary_search'}
{'return': 0.923095703125, 'score': 0.923095703125, 'examples_seen': 745347, 'step': 9700, 'algorithm': 'binary_search'}
{'return': 0.935302734375, 'score': 0.935302734375, 'examples_seen': 749232, 'step': 9750, 'algorithm': 'binary_search'}
{'return': 0.87451171875, 'score': 0.87451171875, 'examples_seen': 753094, 'step': 9800, 'algorithm': 'binary_search'}
{'return': 0.89990234375, 'score': 0.89990234375, 'examples_seen': 756931, 'step': 9850, 'algorithm': 'binary_search'}
{'return': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 760767, 'step': 9900, 'algorithm': 'binary_search'}
{'return': 0.86767578125, 'score': 0.86767578125, 'examples_seen': 764588, 'step': 9950, 'algorithm': 'binary_search'}
