I0716 19:50:47.706948 132276257179136 run.py:722] (val) algo dfs step 5300: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 90880, 'step': 5300, 'algorithm': 'dfs'}
I0716 19:50:49.188057 132276257179136 run.py:722] (val) algo dfs step 5350: {'pi': 0.5869140625, 'score': 0.5869140625, 'examples_seen': 91728, 'step': 5350, 'algorithm': 'dfs'}
I0716 19:50:50.655166 132276257179136 run.py:722] (val) algo dfs step 5400: {'pi': 0.4716796875, 'score': 0.4716796875, 'examples_seen': 92576, 'step': 5400, 'algorithm': 'dfs'}
I0716 19:50:52.127615 132276257179136 run.py:722] (val) algo dfs step 5450: {'pi': 0.52734375, 'score': 0.52734375, 'examples_seen': 93456, 'step': 5450, 'algorithm': 'dfs'}
I0716 19:50:53.621045 132276257179136 run.py:722] (val) algo dfs step 5500: {'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 94272, 'step': 5500, 'algorithm': 'dfs'}
I0716 19:50:55.131049 132276257179136 run.py:722] (val) algo dfs step 5550: {'pi': 0.4716796875, 'score': 0.4716796875, 'examples_seen': 95136, 'step': 5550, 'algorithm': 'dfs'}
I0716 19:50:56.604671 132276257179136 run.py:722] (val) algo dfs step 5600: {'pi': 0.3466796875, 'score': 0.3466796875, 'examples_seen': 96032, 'step': 5600, 'algorithm': 'dfs'}
I0716 19:50:58.045180 132276257179136 run.py:722] (val) algo dfs step 5650: {'pi': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 96880, 'step': 5650, 'algorithm': 'dfs'}
I0716 19:50:59.444274 132276257179136 run.py:722] (val) algo dfs step 5700: {'pi': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 97744, 'step': 5700, 'algorithm': 'dfs'}
I0716 19:51:00.911948 132276257179136 run.py:722] (val) algo dfs step 5750: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 98608, 'step': 5750, 'algorithm': 'dfs'}
I0716 19:51:02.346014 132276257179136 run.py:722] (val) algo dfs step 5800: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 99440, 'step': 5800, 'algorithm': 'dfs'}
I0716 19:51:03.811979 132276257179136 run.py:722] (val) algo dfs step 5850: {'pi': 0.5810546875, 'score': 0.5810546875, 'examples_seen': 100288, 'step': 5850, 'algorithm': 'dfs'}
I0716 19:51:05.326612 132276257179136 run.py:722] (val) algo dfs step 5900: {'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 101184, 'step': 5900, 'algorithm': 'dfs'}
I0716 19:51:06.785556 132276257179136 run.py:722] (val) algo dfs step 5950: {'pi': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 102032, 'step': 5950, 'algorithm': 'dfs'}
I0716 19:51:08.258573 132276257179136 run.py:722] (val) algo dfs step 6000: {'pi': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 102912, 'step': 6000, 'algorithm': 'dfs'}
I0716 19:51:09.700230 132276257179136 run.py:722] (val) algo dfs step 6050: {'pi': 0.5185546875, 'score': 0.5185546875, 'examples_seen': 103728, 'step': 6050, 'algorithm': 'dfs'}
I0716 19:51:11.167724 132276257179136 run.py:722] (val) algo dfs step 6100: {'pi': 0.609375, 'score': 0.609375, 'examples_seen': 104608, 'step': 6100, 'algorithm': 'dfs'}
I0716 19:51:12.647192 132276257179136 run.py:722] (val) algo dfs step 6150: {'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 105440, 'step': 6150, 'algorithm': 'dfs'}
I0716 19:51:14.176017 132276257179136 run.py:722] (val) algo dfs step 6200: {'pi': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 106272, 'step': 6200, 'algorithm': 'dfs'}
I0716 19:51:15.680081 132276257179136 run.py:722] (val) algo dfs step 6250: {'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 107168, 'step': 6250, 'algorithm': 'dfs'}
I0716 19:51:17.188127 132276257179136 run.py:722] (val) algo dfs step 6300: {'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 108032, 'step': 6300, 'algorithm': 'dfs'}
I0716 19:51:18.647433 132276257179136 run.py:722] (val) algo dfs step 6350: {'pi': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 108896, 'step': 6350, 'algorithm': 'dfs'}
I0716 19:51:20.094923 132276257179136 run.py:722] (val) algo dfs step 6400: {'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 109744, 'step': 6400, 'algorithm': 'dfs'}
I0716 19:51:21.565268 132276257179136 run.py:722] (val) algo dfs step 6450: {'pi': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 110592, 'step': 6450, 'algorithm': 'dfs'}
I0716 19:51:22.982703 132276257179136 run.py:722] (val) algo dfs step 6500: {'pi': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 111440, 'step': 6500, 'algorithm': 'dfs'}
I0716 19:51:24.504963 132276257179136 run.py:722] (val) algo dfs step 6550: {'pi': 0.4775390625, 'score': 0.4775390625, 'examples_seen': 112272, 'step': 6550, 'algorithm': 'dfs'}
I0716 19:51:26.000053 132276257179136 run.py:722] (val) algo dfs step 6600: {'pi': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 113168, 'step': 6600, 'algorithm': 'dfs'}
I0716 19:51:27.461563 132276257179136 run.py:722] (val) algo dfs step 6650: {'pi': 0.607421875, 'score': 0.607421875, 'examples_seen': 114048, 'step': 6650, 'algorithm': 'dfs'}
I0716 19:51:28.911291 132276257179136 run.py:722] (val) algo dfs step 6700: {'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 114880, 'step': 6700, 'algorithm': 'dfs'}
I0716 19:51:30.359273 132276257179136 run.py:722] (val) algo dfs step 6750: {'pi': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 115744, 'step': 6750, 'algorithm': 'dfs'}
I0716 19:51:31.798471 132276257179136 run.py:722] (val) algo dfs step 6800: {'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 116576, 'step': 6800, 'algorithm': 'dfs'}
I0716 19:51:33.317501 132276257179136 run.py:722] (val) algo dfs step 6850: {'pi': 0.5859375, 'score': 0.5859375, 'examples_seen': 117456, 'step': 6850, 'algorithm': 'dfs'}
I0716 19:51:34.793111 132276257179136 run.py:722] (val) algo dfs step 6900: {'pi': 0.55859375, 'score': 0.55859375, 'examples_seen': 118288, 'step': 6900, 'algorithm': 'dfs'}
I0716 19:51:36.318589 132276257179136 run.py:722] (val) algo dfs step 6950: {'pi': 0.5625, 'score': 0.5625, 'examples_seen': 119168, 'step': 6950, 'algorithm': 'dfs'}
I0716 19:51:37.784439 132276257179136 run.py:722] (val) algo dfs step 7000: {'pi': 0.5693359375, 'score': 0.5693359375, 'examples_seen': 120032, 'step': 7000, 'algorithm': 'dfs'}
I0716 19:51:39.203054 132276257179136 run.py:722] (val) algo dfs step 7050: {'pi': 0.5966796875, 'score': 0.5966796875, 'examples_seen': 120896, 'step': 7050, 'algorithm': 'dfs'}
I0716 19:51:40.785593 132276257179136 run.py:722] (val) algo dfs step 7100: {'pi': 0.48828125, 'score': 0.48828125, 'examples_seen': 121760, 'step': 7100, 'algorithm': 'dfs'}
I0716 19:51:42.172471 132276257179136 run.py:722] (val) algo dfs step 7150: {'pi': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 122608, 'step': 7150, 'algorithm': 'dfs'}
