I0716 19:59:33.552138 140603330549248 run.py:722] (val) algo dijkstra step 4750: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 268082, 'step': 4750, 'algorithm': 'dijkstra'}
I0716 19:59:35.497233 140603330549248 run.py:722] (val) algo dijkstra step 4800: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 270868, 'step': 4800, 'algorithm': 'dijkstra'}
I0716 19:59:37.450472 140603330549248 run.py:722] (val) algo dijkstra step 4850: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 273712, 'step': 4850, 'algorithm': 'dijkstra'}
I0716 19:59:39.382578 140603330549248 run.py:722] (val) algo dijkstra step 4900: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 276597, 'step': 4900, 'algorithm': 'dijkstra'}
I0716 19:59:41.293588 140603330549248 run.py:722] (val) algo dijkstra step 4950: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 279407, 'step': 4950, 'algorithm': 'dijkstra'}
I0716 19:59:43.249387 140603330549248 run.py:722] (val) algo dijkstra step 5000: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 282193, 'step': 5000, 'algorithm': 'dijkstra'}
I0716 19:59:45.157192 140603330549248 run.py:722] (val) algo dijkstra step 5050: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 284988, 'step': 5050, 'algorithm': 'dijkstra'}
I0716 19:59:47.114926 140603330549248 run.py:722] (val) algo dijkstra step 5100: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 287799, 'step': 5100, 'algorithm': 'dijkstra'}
I0716 19:59:49.115616 140603330549248 run.py:722] (val) algo dijkstra step 5150: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 290587, 'step': 5150, 'algorithm': 'dijkstra'}
I0716 19:59:51.073066 140603330549248 run.py:722] (val) algo dijkstra step 5200: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 293477, 'step': 5200, 'algorithm': 'dijkstra'}
I0716 19:59:53.128814 140603330549248 run.py:722] (val) algo dijkstra step 5250: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 296379, 'step': 5250, 'algorithm': 'dijkstra'}
I0716 19:59:55.162182 140603330549248 run.py:722] (val) algo dijkstra step 5300: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 299195, 'step': 5300, 'algorithm': 'dijkstra'}
I0716 19:59:57.149398 140603330549248 run.py:722] (val) algo dijkstra step 5350: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 302045, 'step': 5350, 'algorithm': 'dijkstra'}
I0716 19:59:59.065032 140603330549248 run.py:722] (val) algo dijkstra step 5400: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 304844, 'step': 5400, 'algorithm': 'dijkstra'}
I0716 20:00:01.103541 140603330549248 run.py:722] (val) algo dijkstra step 5450: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 307674, 'step': 5450, 'algorithm': 'dijkstra'}
I0716 20:00:03.122649 140603330549248 run.py:722] (val) algo dijkstra step 5500: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 310498, 'step': 5500, 'algorithm': 'dijkstra'}
I0716 20:00:05.040734 140603330549248 run.py:722] (val) algo dijkstra step 5550: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 313348, 'step': 5550, 'algorithm': 'dijkstra'}
I0716 20:00:07.025575 140603330549248 run.py:722] (val) algo dijkstra step 5600: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 316193, 'step': 5600, 'algorithm': 'dijkstra'}
I0716 20:00:09.006291 140603330549248 run.py:722] (val) algo dijkstra step 5650: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 319034, 'step': 5650, 'algorithm': 'dijkstra'}
I0716 20:00:10.975854 140603330549248 run.py:722] (val) algo dijkstra step 5700: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 321872, 'step': 5700, 'algorithm': 'dijkstra'}
I0716 20:00:12.935370 140603330549248 run.py:722] (val) algo dijkstra step 5750: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 324691, 'step': 5750, 'algorithm': 'dijkstra'}
I0716 20:00:14.947712 140603330549248 run.py:722] (val) algo dijkstra step 5800: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 327482, 'step': 5800, 'algorithm': 'dijkstra'}
I0716 20:00:16.865310 140603330549248 run.py:722] (val) algo dijkstra step 5850: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 330253, 'step': 5850, 'algorithm': 'dijkstra'}
I0716 20:00:18.868209 140603330549248 run.py:722] (val) algo dijkstra step 5900: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 333147, 'step': 5900, 'algorithm': 'dijkstra'}
I0716 20:00:20.817436 140603330549248 run.py:722] (val) algo dijkstra step 5950: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 336033, 'step': 5950, 'algorithm': 'dijkstra'}
I0716 20:00:22.796118 140603330549248 run.py:722] (val) algo dijkstra step 6000: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 338875, 'step': 6000, 'algorithm': 'dijkstra'}
I0716 20:00:24.728171 140603330549248 run.py:722] (val) algo dijkstra step 6050: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 341736, 'step': 6050, 'algorithm': 'dijkstra'}
I0716 20:00:26.666931 140603330549248 run.py:722] (val) algo dijkstra step 6100: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 344519, 'step': 6100, 'algorithm': 'dijkstra'}
I0716 20:00:28.687175 140603330549248 run.py:722] (val) algo dijkstra step 6150: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 347320, 'step': 6150, 'algorithm': 'dijkstra'}
I0716 20:00:30.638985 140603330549248 run.py:722] (val) algo dijkstra step 6200: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 350082, 'step': 6200, 'algorithm': 'dijkstra'}
I0716 20:00:32.654849 140603330549248 run.py:722] (val) algo dijkstra step 6250: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 352931, 'step': 6250, 'algorithm': 'dijkstra'}
I0716 20:00:34.566264 140603330549248 run.py:722] (val) algo dijkstra step 6300: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 355770, 'step': 6300, 'algorithm': 'dijkstra'}
I0716 20:00:36.518405 140603330549248 run.py:722] (val) algo dijkstra step 6350: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 358610, 'step': 6350, 'algorithm': 'dijkstra'}
I0716 20:00:38.522876 140603330549248 run.py:722] (val) algo dijkstra step 6400: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 361457, 'step': 6400, 'algorithm': 'dijkstra'}
I0716 20:00:40.464377 140603330549248 run.py:722] (val) algo dijkstra step 6450: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 364254, 'step': 6450, 'algorithm': 'dijkstra'}
I0716 20:00:42.440517 140603330549248 run.py:722] (val) algo dijkstra step 6500: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 367061, 'step': 6500, 'algorithm': 'dijkstra'}
I0716 20:00:44.427805 140603330549248 run.py:722] (val) algo dijkstra step 6550: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 369825, 'step': 6550, 'algorithm': 'dijkstra'}
I0716 20:00:46.379998 140603330549248 run.py:722] (val) algo dijkstra step 6600: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 372739, 'step': 6600, 'algorithm': 'dijkstra'}
I0716 20:00:48.344953 140603330549248 run.py:722] (val) algo dijkstra step 6650: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 375604, 'step': 6650, 'algorithm': 'dijkstra'}
I0716 20:00:50.248875 140603330549248 run.py:722] (val) algo dijkstra step 6700: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 378391, 'step': 6700, 'algorithm': 'dijkstra'}
I0716 20:00:52.306276 140603330549248 run.py:722] (val) algo dijkstra step 6750: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 381191, 'step': 6750, 'algorithm': 'dijkstra'}
I0716 20:00:54.330013 140603330549248 run.py:722] (val) algo dijkstra step 6800: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 383982, 'step': 6800, 'algorithm': 'dijkstra'}
I0716 20:00:56.230137 140603330549248 run.py:722] (val) algo dijkstra step 6850: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 386754, 'step': 6850, 'algorithm': 'dijkstra'}
I0716 20:00:58.207238 140603330549248 run.py:722] (val) algo dijkstra step 6900: {'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 389507, 'step': 6900, 'algorithm': 'dijkstra'}
