I0716 21:55:01.835728 130696166696448 run.py:722] (val) algo minimum step 6600: {'min': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'minimum'}
I0716 21:55:03.536249 130696166696448 run.py:722] (val) algo minimum step 6650: {'min': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'minimum'}
I0716 21:55:05.231809 130696166696448 run.py:722] (val) algo minimum step 6700: {'min': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'minimum'}
I0716 21:55:06.920297 130696166696448 run.py:722] (val) algo minimum step 6750: {'min': 0.975341796875, 'score': 0.975341796875, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'minimum'}
I0716 21:55:08.625713 130696166696448 run.py:722] (val) algo minimum step 6800: {'min': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 349824, 'step': 6800, 'algorithm': 'minimum'}
I0716 21:55:10.312814 130696166696448 run.py:722] (val) algo minimum step 6850: {'min': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 352368, 'step': 6850, 'algorithm': 'minimum'}
I0716 21:55:12.005868 130696166696448 run.py:722] (val) algo minimum step 6900: {'min': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 354896, 'step': 6900, 'algorithm': 'minimum'}
I0716 21:55:13.718111 130696166696448 run.py:722] (val) algo minimum step 6950: {'min': 0.976318359375, 'score': 0.976318359375, 'examples_seen': 357536, 'step': 6950, 'algorithm': 'minimum'}
I0716 21:55:15.420984 130696166696448 run.py:722] (val) algo minimum step 7000: {'min': 0.96923828125, 'score': 0.96923828125, 'examples_seen': 360176, 'step': 7000, 'algorithm': 'minimum'}
I0716 21:55:17.129313 130696166696448 run.py:722] (val) algo minimum step 7050: {'min': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 362720, 'step': 7050, 'algorithm': 'minimum'}
I0716 21:55:18.825061 130696166696448 run.py:722] (val) algo minimum step 7100: {'min': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 365280, 'step': 7100, 'algorithm': 'minimum'}
I0716 21:55:20.506804 130696166696448 run.py:722] (val) algo minimum step 7150: {'min': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 367824, 'step': 7150, 'algorithm': 'minimum'}
I0716 21:55:22.189433 130696166696448 run.py:722] (val) algo minimum step 7200: {'min': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 370368, 'step': 7200, 'algorithm': 'minimum'}
