I0715 09:03:20.520884 128389015430656 run.py:723] (val) algo dijkstra step 6250: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 352931, 'step': 6250, 'algorithm': 'dijkstra'}
I0715 09:03:22.374252 128389015430656 run.py:723] (val) algo dijkstra step 6300: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 355770, 'step': 6300, 'algorithm': 'dijkstra'}
I0715 09:03:24.156005 128389015430656 run.py:723] (val) algo dijkstra step 6350: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 358610, 'step': 6350, 'algorithm': 'dijkstra'}
I0715 09:03:26.009138 128389015430656 run.py:723] (val) algo dijkstra step 6400: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 361457, 'step': 6400, 'algorithm': 'dijkstra'}
I0715 09:03:27.841412 128389015430656 run.py:723] (val) algo dijkstra step 6450: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 364254, 'step': 6450, 'algorithm': 'dijkstra'}
I0715 09:03:29.663373 128389015430656 run.py:723] (val) algo dijkstra step 6500: {'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 367061, 'step': 6500, 'algorithm': 'dijkstra'}
I0715 09:03:31.538003 128389015430656 run.py:723] (val) algo dijkstra step 6550: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 369825, 'step': 6550, 'algorithm': 'dijkstra'}
I0715 09:03:33.382647 128389015430656 run.py:723] (val) algo dijkstra step 6600: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 372739, 'step': 6600, 'algorithm': 'dijkstra'}
I0715 09:03:35.212859 128389015430656 run.py:723] (val) algo dijkstra step 6650: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 375604, 'step': 6650, 'algorithm': 'dijkstra'}
I0715 09:03:36.990318 128389015430656 run.py:723] (val) algo dijkstra step 6700: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 378391, 'step': 6700, 'algorithm': 'dijkstra'}
I0715 09:03:38.866591 128389015430656 run.py:723] (val) algo dijkstra step 6750: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 381191, 'step': 6750, 'algorithm': 'dijkstra'}
