I0715 19:49:36.895077 134837688186368 run.py:723] (val) algo strongly_connected_components step 5200: {'scc_id': 0.552734375, 'score': 0.552734375, 'examples_seen': 15083, 'step': 5200, 'algorithm': 'strongly_connected_components'}
I0715 19:49:39.009747 134837688186368 run.py:723] (val) algo strongly_connected_components step 5250: {'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 15228, 'step': 5250, 'algorithm': 'strongly_connected_components'}
I0715 19:49:41.122896 134837688186368 run.py:723] (val) algo strongly_connected_components step 5300: {'scc_id': 0.544921875, 'score': 0.544921875, 'examples_seen': 15373, 'step': 5300, 'algorithm': 'strongly_connected_components'}
I0715 19:49:43.233763 134837688186368 run.py:723] (val) algo strongly_connected_components step 5350: {'scc_id': 0.60546875, 'score': 0.60546875, 'examples_seen': 15517, 'step': 5350, 'algorithm': 'strongly_connected_components'}
I0715 19:49:45.343765 134837688186368 run.py:723] (val) algo strongly_connected_components step 5400: {'scc_id': 0.564453125, 'score': 0.564453125, 'examples_seen': 15661, 'step': 5400, 'algorithm': 'strongly_connected_components'}
I0715 19:49:47.454257 134837688186368 run.py:723] (val) algo strongly_connected_components step 5450: {'scc_id': 0.546875, 'score': 0.546875, 'examples_seen': 15804, 'step': 5450, 'algorithm': 'strongly_connected_components'}
I0715 19:49:49.565005 134837688186368 run.py:723] (val) algo strongly_connected_components step 5500: {'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 15950, 'step': 5500, 'algorithm': 'strongly_connected_components'}
I0715 19:49:51.676750 134837688186368 run.py:723] (val) algo strongly_connected_components step 5550: {'scc_id': 0.568359375, 'score': 0.568359375, 'examples_seen': 16094, 'step': 5550, 'algorithm': 'strongly_connected_components'}
I0715 19:49:53.799616 134837688186368 run.py:723] (val) algo strongly_connected_components step 5600: {'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 16240, 'step': 5600, 'algorithm': 'strongly_connected_components'}
I0715 19:49:55.915928 134837688186368 run.py:723] (val) algo strongly_connected_components step 5650: {'scc_id': 0.57421875, 'score': 0.57421875, 'examples_seen': 16383, 'step': 5650, 'algorithm': 'strongly_connected_components'}
I0715 19:49:58.038319 134837688186368 run.py:723] (val) algo strongly_connected_components step 5700: {'scc_id': 0.57421875, 'score': 0.57421875, 'examples_seen': 16529, 'step': 5700, 'algorithm': 'strongly_connected_components'}
I0715 19:50:00.156394 134837688186368 run.py:723] (val) algo strongly_connected_components step 5750: {'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 16677, 'step': 5750, 'algorithm': 'strongly_connected_components'}
I0715 19:50:02.269237 134837688186368 run.py:723] (val) algo strongly_connected_components step 5800: {'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 16822, 'step': 5800, 'algorithm': 'strongly_connected_components'}
I0715 19:50:04.391851 134837688186368 run.py:723] (val) algo strongly_connected_components step 5850: {'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 16968, 'step': 5850, 'algorithm': 'strongly_connected_components'}
I0715 19:50:06.500239 134837688186368 run.py:723] (val) algo strongly_connected_components step 5900: {'scc_id': 0.568359375, 'score': 0.568359375, 'examples_seen': 17112, 'step': 5900, 'algorithm': 'strongly_connected_components'}
I0715 19:50:08.612700 134837688186368 run.py:723] (val) algo strongly_connected_components step 5950: {'scc_id': 0.546875, 'score': 0.546875, 'examples_seen': 17256, 'step': 5950, 'algorithm': 'strongly_connected_components'}
I0715 19:50:10.717460 134837688186368 run.py:723] (val) algo strongly_connected_components step 6000: {'scc_id': 0.5546875, 'score': 0.5546875, 'examples_seen': 17399, 'step': 6000, 'algorithm': 'strongly_connected_components'}
I0715 19:50:12.829407 134837688186368 run.py:723] (val) algo strongly_connected_components step 6050: {'scc_id': 0.556640625, 'score': 0.556640625, 'examples_seen': 17545, 'step': 6050, 'algorithm': 'strongly_connected_components'}
I0715 19:50:14.950090 134837688186368 run.py:723] (val) algo strongly_connected_components step 6100: {'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 17689, 'step': 6100, 'algorithm': 'strongly_connected_components'}
I0715 19:50:17.063213 134837688186368 run.py:723] (val) algo strongly_connected_components step 6150: {'scc_id': 0.57421875, 'score': 0.57421875, 'examples_seen': 17834, 'step': 6150, 'algorithm': 'strongly_connected_components'}
I0715 19:50:19.242158 134837688186368 run.py:723] (val) algo strongly_connected_components step 6200: {'scc_id': 0.5859375, 'score': 0.5859375, 'examples_seen': 17978, 'step': 6200, 'algorithm': 'strongly_connected_components'}
I0715 19:50:21.356390 134837688186368 run.py:723] (val) algo strongly_connected_components step 6250: {'scc_id': 0.611328125, 'score': 0.611328125, 'examples_seen': 18125, 'step': 6250, 'algorithm': 'strongly_connected_components'}
I0715 19:50:23.468293 134837688186368 run.py:723] (val) algo strongly_connected_components step 6300: {'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 18272, 'step': 6300, 'algorithm': 'strongly_connected_components'}
I0715 19:50:25.578588 134837688186368 run.py:723] (val) algo strongly_connected_components step 6350: {'scc_id': 0.58203125, 'score': 0.58203125, 'examples_seen': 18415, 'step': 6350, 'algorithm': 'strongly_connected_components'}
I0715 19:50:27.690425 134837688186368 run.py:723] (val) algo strongly_connected_components step 6400: {'scc_id': 0.5703125, 'score': 0.5703125, 'examples_seen': 18561, 'step': 6400, 'algorithm': 'strongly_connected_components'}
I0715 19:50:29.803886 134837688186368 run.py:723] (val) algo strongly_connected_components step 6450: {'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 18707, 'step': 6450, 'algorithm': 'strongly_connected_components'}
