I0715 12:53:52.543502 137617489782272 run.py:723] (val) algo task_scheduling step 5350: {'selected': 0.955538809344386, 'score': 0.955538809344386, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'task_scheduling'}
I0715 12:53:53.564064 137617489782272 run.py:723] (val) algo task_scheduling step 5400: {'selected': 0.9478943611705924, 'score': 0.9478943611705924, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'task_scheduling'}
I0715 12:53:54.579617 137617489782272 run.py:723] (val) algo task_scheduling step 5450: {'selected': 0.9576399394856279, 'score': 0.9576399394856279, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'task_scheduling'}
I0715 12:53:55.594888 137617489782272 run.py:723] (val) algo task_scheduling step 5500: {'selected': 0.953757225433526, 'score': 0.953757225433526, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'task_scheduling'}
I0715 12:53:56.623160 137617489782272 run.py:723] (val) algo task_scheduling step 5550: {'selected': 0.9555555555555556, 'score': 0.9555555555555556, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'task_scheduling'}
I0715 12:53:57.648592 137617489782272 run.py:723] (val) algo task_scheduling step 5600: {'selected': 0.9560685033507075, 'score': 0.9560685033507075, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'task_scheduling'}
I0715 12:53:58.691061 137617489782272 run.py:723] (val) algo task_scheduling step 5650: {'selected': 0.943952802359882, 'score': 0.943952802359882, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'task_scheduling'}
I0715 12:53:59.708401 137617489782272 run.py:723] (val) algo task_scheduling step 5700: {'selected': 0.943918426802622, 'score': 0.943918426802622, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'task_scheduling'}
I0715 12:54:00.725109 137617489782272 run.py:723] (val) algo task_scheduling step 5750: {'selected': 0.9449606862044317, 'score': 0.9449606862044317, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'task_scheduling'}
I0715 12:54:01.752233 137617489782272 run.py:723] (val) algo task_scheduling step 5800: {'selected': 0.9601181683899558, 'score': 0.9601181683899558, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'task_scheduling'}
I0715 12:54:02.767258 137617489782272 run.py:723] (val) algo task_scheduling step 5850: {'selected': 0.9615975422427034, 'score': 0.9615975422427034, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'task_scheduling'}
I0715 12:54:03.811542 137617489782272 run.py:723] (val) algo task_scheduling step 5900: {'selected': 0.92404181184669, 'score': 0.92404181184669, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'task_scheduling'}
I0715 12:54:04.830036 137617489782272 run.py:723] (val) algo task_scheduling step 5950: {'selected': 0.9496402877697843, 'score': 0.9496402877697843, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'task_scheduling'}
