I0715 08:53:23.040013 137093019534848 run.py:723] (val) algo dfs step 3350: {'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 57424, 'step': 3350, 'algorithm': 'dfs'}
I0715 08:53:24.428701 137093019534848 run.py:723] (val) algo dfs step 3400: {'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 58272, 'step': 3400, 'algorithm': 'dfs'}
I0715 08:53:25.817949 137093019534848 run.py:723] (val) algo dfs step 3450: {'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 59152, 'step': 3450, 'algorithm': 'dfs'}
I0715 08:53:27.149660 137093019534848 run.py:723] (val) algo dfs step 3500: {'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 60016, 'step': 3500, 'algorithm': 'dfs'}
I0715 08:53:28.507075 137093019534848 run.py:723] (val) algo dfs step 3550: {'pi': 0.4736328125, 'score': 0.4736328125, 'examples_seen': 60880, 'step': 3550, 'algorithm': 'dfs'}
I0715 08:53:29.826749 137093019534848 run.py:723] (val) algo dfs step 3600: {'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 61744, 'step': 3600, 'algorithm': 'dfs'}
I0715 08:53:31.171020 137093019534848 run.py:723] (val) algo dfs step 3650: {'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 62576, 'step': 3650, 'algorithm': 'dfs'}
I0715 08:53:32.547602 137093019534848 run.py:723] (val) algo dfs step 3700: {'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 63424, 'step': 3700, 'algorithm': 'dfs'}
I0715 08:53:33.902399 137093019534848 run.py:723] (val) algo dfs step 3750: {'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 64288, 'step': 3750, 'algorithm': 'dfs'}
I0715 08:53:35.251000 137093019534848 run.py:723] (val) algo dfs step 3800: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 65168, 'step': 3800, 'algorithm': 'dfs'}
I0715 08:53:36.599749 137093019534848 run.py:723] (val) algo dfs step 3850: {'pi': 0.490234375, 'score': 0.490234375, 'examples_seen': 66032, 'step': 3850, 'algorithm': 'dfs'}
I0715 08:53:37.905776 137093019534848 run.py:723] (val) algo dfs step 3900: {'pi': 0.5048828125, 'score': 0.5048828125, 'examples_seen': 66880, 'step': 3900, 'algorithm': 'dfs'}
I0715 08:53:39.250650 137093019534848 run.py:723] (val) algo dfs step 3950: {'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 67728, 'step': 3950, 'algorithm': 'dfs'}
I0715 08:53:40.603833 137093019534848 run.py:723] (val) algo dfs step 4000: {'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 68576, 'step': 4000, 'algorithm': 'dfs'}
I0715 08:53:41.983911 137093019534848 run.py:723] (val) algo dfs step 4050: {'pi': 0.4794921875, 'score': 0.4794921875, 'examples_seen': 69424, 'step': 4050, 'algorithm': 'dfs'}
I0715 08:53:43.399538 137093019534848 run.py:723] (val) algo dfs step 4100: {'pi': 0.4775390625, 'score': 0.4775390625, 'examples_seen': 70272, 'step': 4100, 'algorithm': 'dfs'}
I0715 08:53:44.741159 137093019534848 run.py:723] (val) algo dfs step 4150: {'pi': 0.486328125, 'score': 0.486328125, 'examples_seen': 71168, 'step': 4150, 'algorithm': 'dfs'}
I0715 08:53:46.109443 137093019534848 run.py:723] (val) algo dfs step 4200: {'pi': 0.4384765625, 'score': 0.4384765625, 'examples_seen': 72032, 'step': 4200, 'algorithm': 'dfs'}
I0715 08:53:47.445596 137093019534848 run.py:723] (val) algo dfs step 4250: {'pi': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 72880, 'step': 4250, 'algorithm': 'dfs'}
I0715 08:53:48.796231 137093019534848 run.py:723] (val) algo dfs step 4300: {'pi': 0.533203125, 'score': 0.533203125, 'examples_seen': 73760, 'step': 4300, 'algorithm': 'dfs'}
I0715 08:53:50.129999 137093019534848 run.py:723] (val) algo dfs step 4350: {'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 74592, 'step': 4350, 'algorithm': 'dfs'}
I0715 08:53:51.443945 137093019534848 run.py:723] (val) algo dfs step 4400: {'pi': 0.4638671875, 'score': 0.4638671875, 'examples_seen': 75456, 'step': 4400, 'algorithm': 'dfs'}
I0715 08:53:52.804980 137093019534848 run.py:723] (val) algo dfs step 4450: {'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 76272, 'step': 4450, 'algorithm': 'dfs'}
I0715 08:53:54.164226 137093019534848 run.py:723] (val) algo dfs step 4500: {'pi': 0.49609375, 'score': 0.49609375, 'examples_seen': 77152, 'step': 4500, 'algorithm': 'dfs'}
I0715 08:53:55.537715 137093019534848 run.py:723] (val) algo dfs step 4550: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 78048, 'step': 4550, 'algorithm': 'dfs'}
