I0715 09:42:25.236167 124715881965056 run.py:723] (val) algo heapsort step 5150: {'pred': 0.689453125, 'score': 0.689453125, 'examples_seen': 80044, 'step': 5150, 'algorithm': 'heapsort'}
I0715 09:42:28.486184 124715881965056 run.py:723] (val) algo heapsort step 5200: {'pred': 0.748046875, 'score': 0.748046875, 'examples_seen': 80849, 'step': 5200, 'algorithm': 'heapsort'}
I0715 09:42:31.745317 124715881965056 run.py:723] (val) algo heapsort step 5250: {'pred': 0.640625, 'score': 0.640625, 'examples_seen': 81638, 'step': 5250, 'algorithm': 'heapsort'}
I0715 09:42:34.962635 124715881965056 run.py:723] (val) algo heapsort step 5300: {'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 82414, 'step': 5300, 'algorithm': 'heapsort'}
I0715 09:42:38.189899 124715881965056 run.py:723] (val) algo heapsort step 5350: {'pred': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 83180, 'step': 5350, 'algorithm': 'heapsort'}
I0715 09:42:41.409793 124715881965056 run.py:723] (val) algo heapsort step 5400: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 83948, 'step': 5400, 'algorithm': 'heapsort'}
I0715 09:42:44.652231 124715881965056 run.py:723] (val) algo heapsort step 5450: {'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 84712, 'step': 5450, 'algorithm': 'heapsort'}
I0715 09:42:47.862220 124715881965056 run.py:723] (val) algo heapsort step 5500: {'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 85472, 'step': 5500, 'algorithm': 'heapsort'}
I0715 09:42:51.149670 124715881965056 run.py:723] (val) algo heapsort step 5550: {'pred': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 86284, 'step': 5550, 'algorithm': 'heapsort'}
I0715 09:42:54.397568 124715881965056 run.py:723] (val) algo heapsort step 5600: {'pred': 0.8173828125, 'score': 0.8173828125, 'examples_seen': 87069, 'step': 5600, 'algorithm': 'heapsort'}
I0715 09:42:57.681737 124715881965056 run.py:723] (val) algo heapsort step 5650: {'pred': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 87846, 'step': 5650, 'algorithm': 'heapsort'}
I0715 09:43:00.938129 124715881965056 run.py:723] (val) algo heapsort step 5700: {'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 88621, 'step': 5700, 'algorithm': 'heapsort'}
I0715 09:43:04.200378 124715881965056 run.py:723] (val) algo heapsort step 5750: {'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 89387, 'step': 5750, 'algorithm': 'heapsort'}
I0715 09:43:07.426657 124715881965056 run.py:723] (val) algo heapsort step 5800: {'pred': 0.6953125, 'score': 0.6953125, 'examples_seen': 90154, 'step': 5800, 'algorithm': 'heapsort'}
I0715 09:43:10.728013 124715881965056 run.py:723] (val) algo heapsort step 5850: {'pred': 0.712890625, 'score': 0.712890625, 'examples_seen': 90918, 'step': 5850, 'algorithm': 'heapsort'}
I0715 09:43:14.009246 124715881965056 run.py:723] (val) algo heapsort step 5900: {'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 91727, 'step': 5900, 'algorithm': 'heapsort'}
I0715 09:43:17.251906 124715881965056 run.py:723] (val) algo heapsort step 5950: {'pred': 0.7666015625, 'score': 0.7666015625, 'examples_seen': 92521, 'step': 5950, 'algorithm': 'heapsort'}
I0715 09:43:20.492932 124715881965056 run.py:723] (val) algo heapsort step 6000: {'pred': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 93296, 'step': 6000, 'algorithm': 'heapsort'}
I0715 09:43:23.684737 124715881965056 run.py:723] (val) algo heapsort step 6050: {'pred': 0.677734375, 'score': 0.677734375, 'examples_seen': 94068, 'step': 6050, 'algorithm': 'heapsort'}
I0715 09:43:26.899048 124715881965056 run.py:723] (val) algo heapsort step 6100: {'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 94820, 'step': 6100, 'algorithm': 'heapsort'}
I0715 09:43:30.157064 124715881965056 run.py:723] (val) algo heapsort step 6150: {'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 95590, 'step': 6150, 'algorithm': 'heapsort'}
I0715 09:43:33.415999 124715881965056 run.py:723] (val) algo heapsort step 6200: {'pred': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 96360, 'step': 6200, 'algorithm': 'heapsort'}
I0715 09:43:36.725288 124715881965056 run.py:723] (val) algo heapsort step 6250: {'pred': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 97167, 'step': 6250, 'algorithm': 'heapsort'}
I0715 09:43:39.922713 124715881965056 run.py:723] (val) algo heapsort step 6300: {'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 97952, 'step': 6300, 'algorithm': 'heapsort'}
I0715 09:43:43.152360 124715881965056 run.py:723] (val) algo heapsort step 6350: {'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 98725, 'step': 6350, 'algorithm': 'heapsort'}
I0715 09:43:46.398311 124715881965056 run.py:723] (val) algo heapsort step 6400: {'pred': 0.705078125, 'score': 0.705078125, 'examples_seen': 99505, 'step': 6400, 'algorithm': 'heapsort'}
I0715 09:43:49.642152 124715881965056 run.py:723] (val) algo heapsort step 6450: {'pred': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 100275, 'step': 6450, 'algorithm': 'heapsort'}
I0715 09:43:52.825974 124715881965056 run.py:723] (val) algo heapsort step 6500: {'pred': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 101030, 'step': 6500, 'algorithm': 'heapsort'}
I0715 09:43:56.116610 124715881965056 run.py:723] (val) algo heapsort step 6550: {'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 101794, 'step': 6550, 'algorithm': 'heapsort'}
I0715 09:43:59.433861 124715881965056 run.py:723] (val) algo heapsort step 6600: {'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 102606, 'step': 6600, 'algorithm': 'heapsort'}
I0715 09:44:02.687222 124715881965056 run.py:723] (val) algo heapsort step 6650: {'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 103398, 'step': 6650, 'algorithm': 'heapsort'}
I0715 09:44:05.902077 124715881965056 run.py:723] (val) algo heapsort step 6700: {'pred': 0.734375, 'score': 0.734375, 'examples_seen': 104173, 'step': 6700, 'algorithm': 'heapsort'}
I0715 09:44:09.080496 124715881965056 run.py:723] (val) algo heapsort step 6750: {'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 104942, 'step': 6750, 'algorithm': 'heapsort'}
I0715 09:44:12.292226 124715881965056 run.py:723] (val) algo heapsort step 6800: {'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 105711, 'step': 6800, 'algorithm': 'heapsort'}
I0715 09:44:15.551398 124715881965056 run.py:723] (val) algo heapsort step 6850: {'pred': 0.7607421875, 'score': 0.7607421875, 'examples_seen': 106478, 'step': 6850, 'algorithm': 'heapsort'}
I0715 09:44:18.770915 124715881965056 run.py:723] (val) algo heapsort step 6900: {'pred': 0.8134765625, 'score': 0.8134765625, 'examples_seen': 107244, 'step': 6900, 'algorithm': 'heapsort'}
I0715 09:44:22.020250 124715881965056 run.py:723] (val) algo heapsort step 6950: {'pred': 0.7978515625, 'score': 0.7978515625, 'examples_seen': 108043, 'step': 6950, 'algorithm': 'heapsort'}
I0715 09:44:25.257455 124715881965056 run.py:723] (val) algo heapsort step 7000: {'pred': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 108837, 'step': 7000, 'algorithm': 'heapsort'}
I0715 09:44:28.464441 124715881965056 run.py:723] (val) algo heapsort step 7050: {'pred': 0.7421875, 'score': 0.7421875, 'examples_seen': 109604, 'step': 7050, 'algorithm': 'heapsort'}
