{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 229579, 'step': 7750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 231068, 'step': 7800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 232558, 'step': 7850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 234024, 'step': 7900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 235525, 'step': 7950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 237055, 'step': 8000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 238513, 'step': 8050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 240012, 'step': 8100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 241475, 'step': 8150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 242944, 'step': 8200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 244454, 'step': 8250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 245906, 'step': 8300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 247393, 'step': 8350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 248884, 'step': 8400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 250351, 'step': 8450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 251811, 'step': 8500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 253269, 'step': 8550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.984375, 'score': 0.984375, 'examples_seen': 254709, 'step': 8600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 256207, 'step': 8650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 257710, 'step': 8700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 259221, 'step': 8750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 260731, 'step': 8800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 262229, 'step': 8850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 263682, 'step': 8900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 265146, 'step': 8950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 266590, 'step': 9000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 268084, 'step': 9050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 269584, 'step': 9100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 271102, 'step': 9150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 272579, 'step': 9200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 274060, 'step': 9250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 275516, 'step': 9300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 276965, 'step': 9350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 278465, 'step': 9400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 279943, 'step': 9450, 'algorithm': 'dag_shortest_paths'}
