{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1051663, 'step': 8800, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1057591, 'step': 8850, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1063496, 'step': 8900, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1069481, 'step': 8950, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1075384, 'step': 9000, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1081414, 'step': 9050, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1087450, 'step': 9100, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1093430, 'step': 9150, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 1099350, 'step': 9200, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1105288, 'step': 9250, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1111251, 'step': 9300, 'algorithm': 'bfs'}
{'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 1117170, 'step': 9350, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1123237, 'step': 9400, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1129220, 'step': 9450, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1135133, 'step': 9500, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 1141116, 'step': 9550, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1147045, 'step': 9600, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1152942, 'step': 9650, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1158876, 'step': 9700, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 1164929, 'step': 9750, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1171009, 'step': 9800, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1176967, 'step': 9850, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1182948, 'step': 9900, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1188876, 'step': 9950, 'algorithm': 'bfs'}
