I0715 22:33:13.283175 134048692930048 run.py:722] (val) algo graham_scan step 6000: {'in_hull': 0.9523809523809523, 'score': 0.9523809523809523, 'examples_seen': 178480, 'step': 6000, 'algorithm': 'graham_scan'}
I0715 22:33:14.513695 134048692930048 run.py:722] (val) algo graham_scan step 6050: {'in_hull': 0.9575371549893843, 'score': 0.9575371549893843, 'examples_seen': 179971, 'step': 6050, 'algorithm': 'graham_scan'}
I0715 22:33:15.721225 134048692930048 run.py:722] (val) algo graham_scan step 6100: {'in_hull': 0.9673340358271865, 'score': 0.9673340358271865, 'examples_seen': 181438, 'step': 6100, 'algorithm': 'graham_scan'}
I0715 22:33:16.940438 134048692930048 run.py:722] (val) algo graham_scan step 6150: {'in_hull': 0.962719298245614, 'score': 0.962719298245614, 'examples_seen': 182914, 'step': 6150, 'algorithm': 'graham_scan'}
I0715 22:33:18.164327 134048692930048 run.py:722] (val) algo graham_scan step 6200: {'in_hull': 0.9517819706498951, 'score': 0.9517819706498951, 'examples_seen': 184374, 'step': 6200, 'algorithm': 'graham_scan'}
I0715 22:33:19.400578 134048692930048 run.py:722] (val) algo graham_scan step 6250: {'in_hull': 0.9461697722567288, 'score': 0.9461697722567288, 'examples_seen': 185889, 'step': 6250, 'algorithm': 'graham_scan'}
I0715 22:33:20.614999 134048692930048 run.py:722] (val) algo graham_scan step 6300: {'in_hull': 0.9610115911485775, 'score': 0.9610115911485775, 'examples_seen': 187407, 'step': 6300, 'algorithm': 'graham_scan'}
I0715 22:33:21.843266 134048692930048 run.py:722] (val) algo graham_scan step 6350: {'in_hull': 0.959917780061665, 'score': 0.959917780061665, 'examples_seen': 188890, 'step': 6350, 'algorithm': 'graham_scan'}
I0715 22:33:23.065359 134048692930048 run.py:722] (val) algo graham_scan step 6400: {'in_hull': 0.9215086646279306, 'score': 0.9215086646279306, 'examples_seen': 190380, 'step': 6400, 'algorithm': 'graham_scan'}
I0715 22:33:24.275719 134048692930048 run.py:722] (val) algo graham_scan step 6450: {'in_hull': 0.9572471324296141, 'score': 0.9572471324296141, 'examples_seen': 191840, 'step': 6450, 'algorithm': 'graham_scan'}
