{'selected': 0.969939879759519, 'score': 0.969939879759519, 'examples_seen': 306640, 'step': 7700, 'algorithm': 'activity_selector'}
{'selected': 0.96, 'score': 0.96, 'examples_seen': 308608, 'step': 7750, 'algorithm': 'activity_selector'}
{'selected': 0.9117043121149897, 'score': 0.9117043121149897, 'examples_seen': 310608, 'step': 7800, 'algorithm': 'activity_selector'}
{'selected': 0.9750479846449136, 'score': 0.9750479846449136, 'examples_seen': 312576, 'step': 7850, 'algorithm': 'activity_selector'}
{'selected': 0.9628180039138944, 'score': 0.9628180039138944, 'examples_seen': 314528, 'step': 7900, 'algorithm': 'activity_selector'}
{'selected': 0.9769094138543517, 'score': 0.9769094138543517, 'examples_seen': 316528, 'step': 7950, 'algorithm': 'activity_selector'}
{'selected': 0.9583333333333334, 'score': 0.9583333333333334, 'examples_seen': 318528, 'step': 8000, 'algorithm': 'activity_selector'}
{'selected': 0.9607843137254902, 'score': 0.9607843137254902, 'examples_seen': 320560, 'step': 8050, 'algorithm': 'activity_selector'}
{'selected': 0.9681050656660412, 'score': 0.9681050656660412, 'examples_seen': 322544, 'step': 8100, 'algorithm': 'activity_selector'}
{'selected': 0.9603024574669187, 'score': 0.9603024574669187, 'examples_seen': 324528, 'step': 8150, 'algorithm': 'activity_selector'}
{'selected': 0.95703125, 'score': 0.95703125, 'examples_seen': 326528, 'step': 8200, 'algorithm': 'activity_selector'}
{'selected': 0.9423076923076923, 'score': 0.9423076923076923, 'examples_seen': 328464, 'step': 8250, 'algorithm': 'activity_selector'}
{'selected': 0.9521988527724665, 'score': 0.9521988527724665, 'examples_seen': 330432, 'step': 8300, 'algorithm': 'activity_selector'}
{'selected': 0.9632495164410059, 'score': 0.9632495164410059, 'examples_seen': 332480, 'step': 8350, 'algorithm': 'activity_selector'}
{'selected': 0.9536679536679536, 'score': 0.9536679536679536, 'examples_seen': 334480, 'step': 8400, 'algorithm': 'activity_selector'}
{'selected': 0.9596774193548387, 'score': 0.9596774193548387, 'examples_seen': 336480, 'step': 8450, 'algorithm': 'activity_selector'}
{'selected': 0.9482071713147411, 'score': 0.9482071713147411, 'examples_seen': 338464, 'step': 8500, 'algorithm': 'activity_selector'}
{'selected': 0.97632058287796, 'score': 0.97632058287796, 'examples_seen': 340432, 'step': 8550, 'algorithm': 'activity_selector'}
{'selected': 0.9869158878504672, 'score': 0.9869158878504672, 'examples_seen': 342416, 'step': 8600, 'algorithm': 'activity_selector'}
{'selected': 0.9683794466403163, 'score': 0.9683794466403163, 'examples_seen': 344368, 'step': 8650, 'algorithm': 'activity_selector'}
{'selected': 0.952741020793951, 'score': 0.952741020793951, 'examples_seen': 346400, 'step': 8700, 'algorithm': 'activity_selector'}
