I0716 12:15:17.773636 137187410863616 run.py:722] (val) algo topological_sort step 3800: {'topo': 0.9345703125, 'topo_head': 0.96875, 'score': 0.95166015625, 'examples_seen': 72493, 'step': 3800, 'algorithm': 'topological_sort'}
I0716 12:15:19.121771 137187410863616 run.py:722] (val) algo topological_sort step 3850: {'topo': 0.947265625, 'topo_head': 0.921875, 'score': 0.9345703125, 'examples_seen': 73460, 'step': 3850, 'algorithm': 'topological_sort'}
I0716 12:15:20.438444 137187410863616 run.py:722] (val) algo topological_sort step 3900: {'topo': 0.94921875, 'topo_head': 1.0, 'score': 0.974609375, 'examples_seen': 74417, 'step': 3900, 'algorithm': 'topological_sort'}
I0716 12:15:21.778203 137187410863616 run.py:722] (val) algo topological_sort step 3950: {'topo': 0.880859375, 'topo_head': 1.0, 'score': 0.9404296875, 'examples_seen': 75366, 'step': 3950, 'algorithm': 'topological_sort'}
I0716 12:15:23.112019 137187410863616 run.py:722] (val) algo topological_sort step 4000: {'topo': 0.9326171875, 'topo_head': 1.0, 'score': 0.96630859375, 'examples_seen': 76316, 'step': 4000, 'algorithm': 'topological_sort'}
I0716 12:15:24.457561 137187410863616 run.py:722] (val) algo topological_sort step 4050: {'topo': 0.8486328125, 'topo_head': 1.0, 'score': 0.92431640625, 'examples_seen': 77261, 'step': 4050, 'algorithm': 'topological_sort'}
I0716 12:15:25.820583 137187410863616 run.py:722] (val) algo topological_sort step 4100: {'topo': 0.93359375, 'topo_head': 0.984375, 'score': 0.958984375, 'examples_seen': 78198, 'step': 4100, 'algorithm': 'topological_sort'}
I0716 12:15:27.163389 137187410863616 run.py:722] (val) algo topological_sort step 4150: {'topo': 0.8486328125, 'topo_head': 1.0, 'score': 0.92431640625, 'examples_seen': 79173, 'step': 4150, 'algorithm': 'topological_sort'}
I0716 12:15:28.508227 137187410863616 run.py:722] (val) algo topological_sort step 4200: {'topo': 0.8876953125, 'topo_head': 0.96875, 'score': 0.92822265625, 'examples_seen': 80146, 'step': 4200, 'algorithm': 'topological_sort'}
I0716 12:15:29.855697 137187410863616 run.py:722] (val) algo topological_sort step 4250: {'topo': 0.9091796875, 'topo_head': 0.984375, 'score': 0.94677734375, 'examples_seen': 81089, 'step': 4250, 'algorithm': 'topological_sort'}
I0716 12:15:31.175952 137187410863616 run.py:722] (val) algo topological_sort step 4300: {'topo': 0.951171875, 'topo_head': 1.0, 'score': 0.9755859375, 'examples_seen': 82041, 'step': 4300, 'algorithm': 'topological_sort'}
I0716 12:15:32.540241 137187410863616 run.py:722] (val) algo topological_sort step 4350: {'topo': 0.9072265625, 'topo_head': 0.984375, 'score': 0.94580078125, 'examples_seen': 82990, 'step': 4350, 'algorithm': 'topological_sort'}
I0716 12:15:33.918676 137187410863616 run.py:722] (val) algo topological_sort step 4400: {'topo': 0.9287109375, 'topo_head': 1.0, 'score': 0.96435546875, 'examples_seen': 83935, 'step': 4400, 'algorithm': 'topological_sort'}
I0716 12:15:35.309852 137187410863616 run.py:722] (val) algo topological_sort step 4450: {'topo': 0.9189453125, 'topo_head': 0.953125, 'score': 0.93603515625, 'examples_seen': 84873, 'step': 4450, 'algorithm': 'topological_sort'}
I0716 12:15:36.705573 137187410863616 run.py:722] (val) algo topological_sort step 4500: {'topo': 0.9345703125, 'topo_head': 0.953125, 'score': 0.94384765625, 'examples_seen': 85861, 'step': 4500, 'algorithm': 'topological_sort'}
I0716 12:15:38.074317 137187410863616 run.py:722] (val) algo topological_sort step 4550: {'topo': 0.9111328125, 'topo_head': 0.953125, 'score': 0.93212890625, 'examples_seen': 86825, 'step': 4550, 'algorithm': 'topological_sort'}
I0716 12:15:39.387960 137187410863616 run.py:722] (val) algo topological_sort step 4600: {'topo': 0.958984375, 'topo_head': 0.984375, 'score': 0.9716796875, 'examples_seen': 87767, 'step': 4600, 'algorithm': 'topological_sort'}
I0716 12:15:40.748508 137187410863616 run.py:722] (val) algo topological_sort step 4650: {'topo': 0.9248046875, 'topo_head': 1.0, 'score': 0.96240234375, 'examples_seen': 88721, 'step': 4650, 'algorithm': 'topological_sort'}
I0716 12:15:42.105223 137187410863616 run.py:722] (val) algo topological_sort step 4700: {'topo': 0.927734375, 'topo_head': 0.984375, 'score': 0.9560546875, 'examples_seen': 89662, 'step': 4700, 'algorithm': 'topological_sort'}
I0716 12:15:43.452836 137187410863616 run.py:722] (val) algo topological_sort step 4750: {'topo': 0.89453125, 'topo_head': 1.0, 'score': 0.947265625, 'examples_seen': 90611, 'step': 4750, 'algorithm': 'topological_sort'}
I0716 12:15:44.823661 137187410863616 run.py:722] (val) algo topological_sort step 4800: {'topo': 0.8857421875, 'topo_head': 0.984375, 'score': 0.93505859375, 'examples_seen': 91545, 'step': 4800, 'algorithm': 'topological_sort'}
I0716 12:15:46.230242 137187410863616 run.py:722] (val) algo topological_sort step 4850: {'topo': 0.9462890625, 'topo_head': 0.96875, 'score': 0.95751953125, 'examples_seen': 92525, 'step': 4850, 'algorithm': 'topological_sort'}
I0716 12:15:47.596835 137187410863616 run.py:722] (val) algo topological_sort step 4900: {'topo': 0.9296875, 'topo_head': 0.984375, 'score': 0.95703125, 'examples_seen': 93484, 'step': 4900, 'algorithm': 'topological_sort'}
I0716 12:15:48.945320 137187410863616 run.py:722] (val) algo topological_sort step 4950: {'topo': 0.94140625, 'topo_head': 1.0, 'score': 0.970703125, 'examples_seen': 94444, 'step': 4950, 'algorithm': 'topological_sort'}
I0716 12:15:50.292013 137187410863616 run.py:722] (val) algo topological_sort step 5000: {'topo': 0.9365234375, 'topo_head': 0.984375, 'score': 0.96044921875, 'examples_seen': 95400, 'step': 5000, 'algorithm': 'topological_sort'}
I0716 12:15:51.639774 137187410863616 run.py:722] (val) algo topological_sort step 5050: {'topo': 0.90234375, 'topo_head': 0.96875, 'score': 0.935546875, 'examples_seen': 96337, 'step': 5050, 'algorithm': 'topological_sort'}
I0716 12:15:52.998831 137187410863616 run.py:722] (val) algo topological_sort step 5100: {'topo': 0.9140625, 'topo_head': 0.96875, 'score': 0.94140625, 'examples_seen': 97284, 'step': 5100, 'algorithm': 'topological_sort'}
I0716 12:15:54.378993 137187410863616 run.py:722] (val) algo topological_sort step 5150: {'topo': 0.921875, 'topo_head': 0.984375, 'score': 0.953125, 'examples_seen': 98221, 'step': 5150, 'algorithm': 'topological_sort'}
I0716 12:15:55.736291 137187410863616 run.py:722] (val) algo topological_sort step 5200: {'topo': 0.9609375, 'topo_head': 1.0, 'score': 0.98046875, 'examples_seen': 99188, 'step': 5200, 'algorithm': 'topological_sort'}
I0716 12:15:57.093079 137187410863616 run.py:722] (val) algo topological_sort step 5250: {'topo': 0.9267578125, 'topo_head': 1.0, 'score': 0.96337890625, 'examples_seen': 100164, 'step': 5250, 'algorithm': 'topological_sort'}
I0716 12:15:58.440116 137187410863616 run.py:722] (val) algo topological_sort step 5300: {'topo': 0.90234375, 'topo_head': 0.984375, 'score': 0.943359375, 'examples_seen': 101120, 'step': 5300, 'algorithm': 'topological_sort'}
I0716 12:15:59.794145 137187410863616 run.py:722] (val) algo topological_sort step 5350: {'topo': 0.9609375, 'topo_head': 1.0, 'score': 0.98046875, 'examples_seen': 102068, 'step': 5350, 'algorithm': 'topological_sort'}
I0716 12:16:01.147170 137187410863616 run.py:722] (val) algo topological_sort step 5400: {'topo': 0.9404296875, 'topo_head': 0.96875, 'score': 0.95458984375, 'examples_seen': 103013, 'step': 5400, 'algorithm': 'topological_sort'}
I0716 12:16:02.516026 137187410863616 run.py:722] (val) algo topological_sort step 5450: {'topo': 0.9609375, 'topo_head': 1.0, 'score': 0.98046875, 'examples_seen': 103953, 'step': 5450, 'algorithm': 'topological_sort'}
I0716 12:16:03.883497 137187410863616 run.py:722] (val) algo topological_sort step 5500: {'topo': 0.8935546875, 'topo_head': 0.96875, 'score': 0.93115234375, 'examples_seen': 104896, 'step': 5500, 'algorithm': 'topological_sort'}
I0716 12:16:05.285943 137187410863616 run.py:722] (val) algo topological_sort step 5550: {'topo': 0.9248046875, 'topo_head': 1.0, 'score': 0.96240234375, 'examples_seen': 105884, 'step': 5550, 'algorithm': 'topological_sort'}
I0716 12:16:06.637208 137187410863616 run.py:722] (val) algo topological_sort step 5600: {'topo': 0.9228515625, 'topo_head': 1.0, 'score': 0.96142578125, 'examples_seen': 106844, 'step': 5600, 'algorithm': 'topological_sort'}
I0716 12:16:07.953872 137187410863616 run.py:722] (val) algo topological_sort step 5650: {'topo': 0.9375, 'topo_head': 1.0, 'score': 0.96875, 'examples_seen': 107793, 'step': 5650, 'algorithm': 'topological_sort'}
I0716 12:16:09.336071 137187410863616 run.py:722] (val) algo topological_sort step 5700: {'topo': 0.892578125, 'topo_head': 1.0, 'score': 0.9462890625, 'examples_seen': 108742, 'step': 5700, 'algorithm': 'topological_sort'}
I0716 12:16:10.669866 137187410863616 run.py:722] (val) algo topological_sort step 5750: {'topo': 0.9267578125, 'topo_head': 1.0, 'score': 0.96337890625, 'examples_seen': 109692, 'step': 5750, 'algorithm': 'topological_sort'}
I0716 12:16:12.031354 137187410863616 run.py:722] (val) algo topological_sort step 5800: {'topo': 0.93359375, 'topo_head': 1.0, 'score': 0.966796875, 'examples_seen': 110635, 'step': 5800, 'algorithm': 'topological_sort'}
I0716 12:16:13.408099 137187410863616 run.py:722] (val) algo topological_sort step 5850: {'topo': 0.947265625, 'topo_head': 0.984375, 'score': 0.9658203125, 'examples_seen': 111576, 'step': 5850, 'algorithm': 'topological_sort'}
I0716 12:16:14.785622 137187410863616 run.py:722] (val) algo topological_sort step 5900: {'topo': 0.9619140625, 'topo_head': 1.0, 'score': 0.98095703125, 'examples_seen': 112549, 'step': 5900, 'algorithm': 'topological_sort'}
I0716 12:16:16.148850 137187410863616 run.py:722] (val) algo topological_sort step 5950: {'topo': 0.91796875, 'topo_head': 1.0, 'score': 0.958984375, 'examples_seen': 113516, 'step': 5950, 'algorithm': 'topological_sort'}
I0716 12:16:17.503294 137187410863616 run.py:722] (val) algo topological_sort step 6000: {'topo': 0.8935546875, 'topo_head': 0.890625, 'score': 0.89208984375, 'examples_seen': 114473, 'step': 6000, 'algorithm': 'topological_sort'}
I0716 12:16:18.834825 137187410863616 run.py:722] (val) algo topological_sort step 6050: {'topo': 0.9208984375, 'topo_head': 1.0, 'score': 0.96044921875, 'examples_seen': 115421, 'step': 6050, 'algorithm': 'topological_sort'}
I0716 12:16:20.200811 137187410863616 run.py:722] (val) algo topological_sort step 6100: {'topo': 0.9482421875, 'topo_head': 0.984375, 'score': 0.96630859375, 'examples_seen': 116368, 'step': 6100, 'algorithm': 'topological_sort'}
