{'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 942593, 'step': 8500, 'algorithm': 'bellman_ford'}
{'pi': 0.927734375, 'score': 0.927734375, 'examples_seen': 948088, 'step': 8550, 'algorithm': 'bellman_ford'}
{'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 953583, 'step': 8600, 'algorithm': 'bellman_ford'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 959058, 'step': 8650, 'algorithm': 'bellman_ford'}
{'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 964626, 'step': 8700, 'algorithm': 'bellman_ford'}
{'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 970298, 'step': 8750, 'algorithm': 'bellman_ford'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 975825, 'step': 8800, 'algorithm': 'bellman_ford'}
{'pi': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 981377, 'step': 8850, 'algorithm': 'bellman_ford'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 986846, 'step': 8900, 'algorithm': 'bellman_ford'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 992419, 'step': 8950, 'algorithm': 'bellman_ford'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 997892, 'step': 9000, 'algorithm': 'bellman_ford'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 1003572, 'step': 9050, 'algorithm': 'bellman_ford'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 1009140, 'step': 9100, 'algorithm': 'bellman_ford'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 1014681, 'step': 9150, 'algorithm': 'bellman_ford'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 1020218, 'step': 9200, 'algorithm': 'bellman_ford'}
{'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 1025713, 'step': 9250, 'algorithm': 'bellman_ford'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 1031163, 'step': 9300, 'algorithm': 'bellman_ford'}
{'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 1036661, 'step': 9350, 'algorithm': 'bellman_ford'}
{'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 1042311, 'step': 9400, 'algorithm': 'bellman_ford'}
{'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 1047901, 'step': 9450, 'algorithm': 'bellman_ford'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 1053434, 'step': 9500, 'algorithm': 'bellman_ford'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 1059006, 'step': 9550, 'algorithm': 'bellman_ford'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 1064509, 'step': 9600, 'algorithm': 'bellman_ford'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 1070042, 'step': 9650, 'algorithm': 'bellman_ford'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 1075528, 'step': 9700, 'algorithm': 'bellman_ford'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 1081174, 'step': 9750, 'algorithm': 'bellman_ford'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 1086803, 'step': 9800, 'algorithm': 'bellman_ford'}
{'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 1092342, 'step': 9850, 'algorithm': 'bellman_ford'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 1097900, 'step': 9900, 'algorithm': 'bellman_ford'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 1103445, 'step': 9950, 'algorithm': 'bellman_ford'}
