{'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 201360, 'step': 5950, 'algorithm': 'bubble_sort'}
{'pred': 0.765625, 'score': 0.765625, 'examples_seen': 203056, 'step': 6000, 'algorithm': 'bubble_sort'}
{'pred': 0.814453125, 'score': 0.814453125, 'examples_seen': 204720, 'step': 6050, 'algorithm': 'bubble_sort'}
{'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 206368, 'step': 6100, 'algorithm': 'bubble_sort'}
{'pred': 0.78125, 'score': 0.78125, 'examples_seen': 208064, 'step': 6150, 'algorithm': 'bubble_sort'}
{'pred': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 209712, 'step': 6200, 'algorithm': 'bubble_sort'}
{'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 211504, 'step': 6250, 'algorithm': 'bubble_sort'}
{'pred': 0.7763671875, 'score': 0.7763671875, 'examples_seen': 213216, 'step': 6300, 'algorithm': 'bubble_sort'}
{'pred': 0.8173828125, 'score': 0.8173828125, 'examples_seen': 214896, 'step': 6350, 'algorithm': 'bubble_sort'}
{'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 216560, 'step': 6400, 'algorithm': 'bubble_sort'}
{'pred': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 218208, 'step': 6450, 'algorithm': 'bubble_sort'}
{'pred': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 219872, 'step': 6500, 'algorithm': 'bubble_sort'}
{'pred': 0.7763671875, 'score': 0.7763671875, 'examples_seen': 221520, 'step': 6550, 'algorithm': 'bubble_sort'}
{'pred': 0.80078125, 'score': 0.80078125, 'examples_seen': 223328, 'step': 6600, 'algorithm': 'bubble_sort'}
{'pred': 0.7412109375, 'score': 0.7412109375, 'examples_seen': 225040, 'step': 6650, 'algorithm': 'bubble_sort'}
{'pred': 0.7734375, 'score': 0.7734375, 'examples_seen': 226720, 'step': 6700, 'algorithm': 'bubble_sort'}
